foodatlas_id	chebi	cdno
e10271	['main group molecular entity']	['mineral (including derivatives)']
e10272	['main group molecular entity', 'polyatomic entity']	['others']
e10273	['main group molecular entity', 'polyatomic entity']	['others']
e10274	['main group molecular entity', 'polyatomic entity']	['others']
e10275	['main group molecular entity', 'polyatomic entity']	['others']
e10276	['main group molecular entity', 'polyatomic entity']	['others']
e10277	['main group molecular entity', 'polyatomic entity']	['others']
e10278	['main group molecular entity', 'polyatomic entity']	['others']
e10279	['main group molecular entity', 'polyatomic entity', 'ion']	['others']
e10280	['main group molecular entity', 'polyatomic entity']	['others']
e10281	['main group molecular entity', 'polyatomic entity']	['others']
e10282	['main group molecular entity', 'polyatomic entity']	['others']
e10283	['main group molecular entity', 'polyatomic entity']	['others']
e10284	['main group molecular entity', 'polyatomic entity']	['others']
e10285	['main group molecular entity', 'polyatomic entity']	['others']
e10286	['main group molecular entity', 'polyatomic entity']	['others']
e10287	['main group molecular entity', 'polyatomic entity']	['others']
e10288	['main group molecular entity']	['others']
e10289	['main group molecular entity', 'polyatomic entity']	['others']
e10290	['main group molecular entity']	['others']
e10291	['main group molecular entity', 'polyatomic entity']	['others']
e10292	['main group molecular entity', 'polyatomic entity']	['others']
e10293	['main group molecular entity']	['others']
e10294	['main group molecular entity', 'polyatomic entity']	['others']
e10295	['main group molecular entity', 'polyatomic entity']	['others']
e10296	['main group molecular entity', 'polyatomic entity']	['others']
e10297	['main group molecular entity']	['others']
e10298	['main group molecular entity', 'polyatomic entity']	['others']
e10299	['main group molecular entity', 'polyatomic entity']	['others']
e10300	['main group molecular entity', 'polyatomic entity']	['others']
e10301	['main group molecular entity', 'polyatomic entity']	['others']
e10302	['main group molecular entity', 'polyatomic entity']	['others']
e10303	['main group molecular entity', 'polyatomic entity']	['others']
e10304	['main group molecular entity', 'polyatomic entity']	['others']
e10305	['main group molecular entity', 'polyatomic entity']	['others']
e10306	['main group molecular entity']	['others']
e10307	['main group molecular entity', 'polyatomic entity']	['others']
e10308	['main group molecular entity', 'polyatomic entity']	['others']
e10309	['main group molecular entity']	['lipid', 'others']
e10310	['main group molecular entity', 'polyatomic entity']	['others']
e10311	['main group molecular entity', 'polyatomic entity']	['others']
e10312	['main group molecular entity', 'polyatomic entity']	['others']
e10313	['main group molecular entity', 'polyatomic entity']	['others']
e10314	['main group molecular entity', 'polyatomic entity']	['others']
e10315	['main group molecular entity', 'polyatomic entity']	['others']
e10316	['main group molecular entity', 'polyatomic entity']	['others']
e10317	['main group molecular entity', 'polyatomic entity']	['others']
e10318	['main group molecular entity', 'polyatomic entity']	['others']
e10319	['main group molecular entity', 'polyatomic entity']	['others']
e10320	['main group molecular entity', 'polyatomic entity']	['others']
e10321	['main group molecular entity', 'polyatomic entity']	['others']
e10322	['main group molecular entity', 'polyatomic entity']	['others']
e10323	['main group molecular entity', 'polyatomic entity']	['others']
e10324	['main group molecular entity']	['others']
e10325	['main group molecular entity', 'polyatomic entity']	['others']
e10326	['main group molecular entity', 'polyatomic entity']	['others']
e10327	['main group molecular entity', 'polyatomic entity']	['others']
e10328	['main group molecular entity', 'polyatomic entity']	['others']
e10329	['main group molecular entity', 'polyatomic entity']	['others']
e10330	['main group molecular entity', 'polyatomic entity']	['others']
e10331	['main group molecular entity', 'polyatomic entity']	['others']
e10332	['main group molecular entity', 'polyatomic entity']	['others']
e10333	[]	['others']
e10334	['main group molecular entity', 'polyatomic entity']	['others']
e10335	['main group molecular entity', 'polyatomic entity']	['others']
e10336	['main group molecular entity', 'polyatomic entity', 'ion']	['others']
e10337	['main group molecular entity', 'polyatomic entity']	['others']
e10338	['main group molecular entity', 'polyatomic entity']	['others']
e10339	['main group molecular entity', 'polyatomic entity']	['others']
e10340	['main group molecular entity', 'polyatomic entity']	['others']
e10341	['main group molecular entity', 'polyatomic entity']	['others']
e10342	['main group molecular entity', 'polyatomic entity']	['others']
e10343	['main group molecular entity', 'polyatomic entity']	['others']
e10344	['main group molecular entity']	['others']
e10345	['main group molecular entity']	['others']
e10346	['main group molecular entity', 'polyatomic entity']	['others']
e10347	['main group molecular entity', 'polyatomic entity']	['others']
e10348	['main group molecular entity', 'polyatomic entity']	['others']
e10349	['main group molecular entity', 'ion']	['others']
e10350	['main group molecular entity', 'polyatomic entity']	['others']
e10351	['main group molecular entity', 'polyatomic entity']	['others']
e10352	['main group molecular entity', 'polyatomic entity']	['others']
e10353	['main group molecular entity', 'polyatomic entity']	['others']
e10354	['main group molecular entity', 'polyatomic entity']	['others']
e10355	['main group molecular entity', 'polyatomic entity']	['others']
e10356	['main group molecular entity', 'polyatomic entity']	['others']
e10357	['main group molecular entity', 'polyatomic entity']	['others']
e10358	['main group molecular entity']	['others']
e10359	['main group molecular entity', 'polyatomic entity']	['others']
e10360	['main group molecular entity', 'polyatomic entity']	['others']
e10361	['main group molecular entity', 'polyatomic entity']	['others']
e10362	['main group molecular entity', 'polyatomic entity']	['others']
e10363	['main group molecular entity', 'polyatomic entity']	['others']
e10364	['main group molecular entity', 'polyatomic entity']	['others']
e10365	['main group molecular entity', 'polyatomic entity']	['others']
e10366	['main group molecular entity', 'polyatomic entity']	['others']
e10367	['main group molecular entity']	['others']
e10368	['main group molecular entity', 'polyatomic entity']	['others']
e10369	['main group molecular entity', 'polyatomic entity']	['others']
e10370	['main group molecular entity', 'polyatomic entity']	['others']
e10371	['main group molecular entity', 'polyatomic entity']	['others']
e10372	['main group molecular entity']	['others']
e10373	['main group molecular entity', 'polyatomic entity']	['others']
e10374	['main group molecular entity', 'polyatomic entity']	['others']
e10375	['main group molecular entity', 'polyatomic entity']	['others']
e10376	['main group molecular entity', 'polyatomic entity']	['others']
e10377	['main group molecular entity', 'polyatomic entity']	['others']
e10378	['main group molecular entity', 'polyatomic entity']	['others']
e10379	['main group molecular entity']	['others']
e10380	['main group molecular entity', 'polyatomic entity']	['others']
e10381	['main group molecular entity', 'polyatomic entity']	['others']
e10382	['main group molecular entity', 'polyatomic entity']	['others']
e10383	['main group molecular entity', 'polyatomic entity']	['others']
e10384	['main group molecular entity', 'polyatomic entity']	['others']
e10385	['main group molecular entity', 'polyatomic entity']	['others']
e10386	['main group molecular entity', 'polyatomic entity']	['others']
e10387	['main group molecular entity', 'polyatomic entity']	['lipid', 'others']
e10388	['main group molecular entity', 'polyatomic entity']	['others']
e10389	['main group molecular entity', 'polyatomic entity']	['others']
e10390	['main group molecular entity', 'polyatomic entity']	['others']
e10391	['main group molecular entity', 'polyatomic entity']	['others']
e10392	['main group molecular entity', 'polyatomic entity']	['others']
e10393	['main group molecular entity']	['others']
e10394	['main group molecular entity', 'polyatomic entity']	['others']
e10395	['main group molecular entity', 'polyatomic entity']	['others']
e10396	['main group molecular entity', 'polyatomic entity']	['others']
e10397	['main group molecular entity', 'polyatomic entity']	['others']
e10398	['main group molecular entity', 'polyatomic entity', 'ion']	['others']
e10399	['main group molecular entity', 'polyatomic entity']	['others']
e10400	['main group molecular entity', 'polyatomic entity']	['others']
e10401	['main group molecular entity', 'polyatomic entity']	['others']
e10402	['main group molecular entity', 'polyatomic entity']	['lipid', 'others']
e10403	['main group molecular entity', 'polyatomic entity']	['others']
e10404	['main group molecular entity', 'polyatomic entity']	['others']
e10405	['main group molecular entity', 'polyatomic entity']	['others']
e10406	['main group molecular entity', 'polyatomic entity']	['others']
e10407	['main group molecular entity', 'polyatomic entity']	['others']
e10408	['main group molecular entity', 'polyatomic entity']	['others']
e10409	['main group molecular entity', 'polyatomic entity']	['others']
e10410	['main group molecular entity', 'polyatomic entity']	['others']
e10411	['main group molecular entity', 'polyatomic entity']	['others']
e10412	['main group molecular entity', 'polyatomic entity']	['others']
e10413	['main group molecular entity', 'polyatomic entity']	['others']
e10414	['main group molecular entity', 'polyatomic entity']	['others']
e10415	['main group molecular entity']	['others']
e10416	['main group molecular entity', 'polyatomic entity']	['others']
e10417	['main group molecular entity', 'polyatomic entity']	['others']
e10418	['main group molecular entity', 'polyatomic entity']	['others']
e10419	['main group molecular entity', 'polyatomic entity']	['others']
e10420	['main group molecular entity', 'polyatomic entity']	['others']
e10421	['main group molecular entity', 'polyatomic entity']	['others']
e10422	['main group molecular entity']	['others']
e10423	['main group molecular entity', 'polyatomic entity']	['others']
e10424	['main group molecular entity', 'polyatomic entity']	['others']
e10425	['main group molecular entity', 'polyatomic entity']	['others']
