foodatlas_id	head_id	relationship_id	tail_id	source
co1	e11961	r2	e12480	chebi
co2	e12173	r2	e12688	chebi
co3	e11978	r2	e13084	chebi
co4	e65080	r2	e11978	chebi
co5	e11496	r2	e11978	chebi
co6	e63925	r2	e13087	chebi
co7	e12864	r2	e64212	chebi
co8	e60781	r2	e64212	chebi
co9	e12921	r2	e13122	chebi
co10	e61302	r2	e11548	chebi
co11	e12920	r2	e13123	chebi
co12	e13049	r2	e12920	chebi
co13	e13732	r2	e12920	chebi
co14	e10510	r2	e12920	chebi
co15	e12922	r2	e13858	chebi
co16	e13405	r2	e12922	chebi
co17	e63392	r2	e12922	chebi
co18	e12923	r2	e10923	chebi
co19	e64207	r2	e12923	chebi
co20	e64208	r2	e12923	chebi
co21	e64210	r2	e12923	chebi
co22	e11403	r2	e12923	chebi
co23	e64209	r2	e11403	chebi
co24	e11993	r2	e11619	chebi
co25	e63242	r2	e11993	chebi
co26	e65083	r2	e11993	chebi
co27	e61771	r2	e11993	chebi
co28	e13206	r2	e13122	chebi
co29	e63766	r2	e13809	chebi
co30	e13801	r2	e13585	chebi
co31	e60384	r2	e12603	chebi
co32	e63755	r2	e11397	chebi
co33	e62862	r2	e11588	chebi
co34	e63313	r2	e12999	chebi
co35	e61436	r2	e12603	chebi
co36	e61262	r2	e13029	chebi
co37	e61893	r2	e13029	chebi
co38	e63202	r2	e62442	chebi
co39	e12372	r2	e13781	chebi
co40	e63088	r2	e13612	chebi
co41	e63220	r2	e13334	chebi
co42	e13352	r2	e13123	chebi
co43	e12974	r2	e13858	chebi
co44	e12744	r2	e12980	chebi
co45	e63602	r2	e12744	chebi
co46	e63800	r2	e12744	chebi
co47	e61400	r2	e12980	chebi
co48	e60806	r2	e12980	chebi
co49	e63680	r2	e64179	chebi
co50	e10857	r2	e12974	chebi
co51	e62476	r2	e10857	chebi
co52	e64295	r2	e10857	chebi
co53	e11667	r2	e12985	chebi
co54	e10553	r2	e11667	chebi
co55	e11628	r2	e11667	chebi
co56	e63308	r2	e13293	chebi
co57	e64169	r2	e13293	chebi
co58	e13013	r2	e11380	chebi
co59	e63454	r2	e13013	chebi
co60	e13154	r2	e11380	chebi
co61	e10621	r2	e13154	chebi
co62	e12667	r2	e11380	chebi
co63	e64307	r2	e12667	chebi
co64	e63148	r2	e12667	chebi
co65	e10963	r2	e12981	chebi
co66	e60913	r2	e10963	chebi
co67	e62915	r2	e10963	chebi
co68	e63328	r2	e10963	chebi
co69	e61694	r2	e12981	chebi
co70	e63380	r2	e12669	chebi
co71	e63557	r2	e12669	chebi
co72	e63545	r2	e12982	chebi
co73	e12984	r2	e13352	chebi
co74	e60403	r2	e12984	chebi
co75	e62844	r2	e12984	chebi
co76	e63410	r2	e12984	chebi
co77	e11165	r2	e13352	chebi
co78	e60803	r2	e11165	chebi
co79	e63741	r2	e11165	chebi
co80	e62534	r2	e11165	chebi
co81	e10984	r2	e13352	chebi
co82	e63563	r2	e10984	chebi
co83	e60884	r2	e12649	chebi
co84	e10980	r2	e13208	chebi
co85	e63747	r2	e13209	chebi
co86	e63742	r2	e13209	chebi
co87	e12975	r2	e11619	chebi
co88	e62987	r2	e12975	chebi
co89	e11379	r2	e12975	chebi
co90	e11379	r2	e11462	chebi
co91	e63072	r2	e12976	chebi
co92	e62374	r2	e12976	chebi
co93	e11636	r2	e12976	chebi
co94	e65043	r2	e11636	chebi
co95	e60938	r2	e11636	chebi
co96	e11383	r2	e11636	chebi
co97	e12977	r2	e13006	chebi
co98	e63996	r2	e12977	chebi
co99	e63772	r2	e11161	chebi
co100	e11386	r2	e11161	chebi
co101	e61876	r2	e11161	chebi
co102	e11161	r2	e13004	chebi
co103	e11080	r2	e13007	chebi
co104	e12978	r2	e10981	chebi
co105	e59840	r2	e12978	chebi
co106	e13014	r2	e12978	chebi
co107	e11028	r2	e64229	chebi
co108	e62742	r2	e11028	chebi
co109	e62785	r2	e11028	chebi
co110	e11300	r2	e11028	chebi
co111	e60118	r2	e11300	chebi
co112	e63225	r2	e11300	chebi
co113	e13155	r2	e11028	chebi
co114	e12668	r2	e11028	chebi
co115	e64182	r2	e12668	chebi
co116	e12979	r2	e13613	chebi
co117	e63134	r2	e12979	chebi
co118	e63047	r2	e12979	chebi
co119	e10982	r2	e62432	chebi
co120	e62707	r2	e10982	chebi
co121	e10983	r2	e10982	chebi
co122	e62609	r2	e10983	chebi
co123	e62676	r2	e10983	chebi
co124	e61171	r2	e10982	chebi
co125	e61895	r2	e13206	chebi
co126	e13113	r2	e11443	chebi
co127	e64380	r2	e12883	chebi
co128	e63145	r2	e13206	chebi
co129	e13219	r2	e13355	chebi
co130	e63300	r2	e13206	chebi
co131	e13576	r2	e13122	chebi
co132	e11946	r2	e13858	chebi
co133	e11575	r2	e11619	chebi
co134	e62592	r2	e13577	chebi
co135	e62870	r2	e13577	chebi
co136	e63403	r2	e13577	chebi
co137	e13579	r2	e13006	chebi
co138	e10598	r2	e13579	chebi
co139	e10719	r2	e13579	chebi
co140	e10512	r2	e13579	chebi
co141	e13578	r2	e13004	chebi
co142	e62842	r2	e13578	chebi
co143	e63490	r2	e13578	chebi
co144	e62884	r2	e13578	chebi
co145	e13580	r2	e10981	chebi
co146	e63622	r2	e12883	chebi
co147	e12390	r2	e13122	chebi
co148	e11554	r2	e11619	chebi
co149	e11952	r2	e11554	chebi
co150	e63573	r2	e11952	chebi
co151	e62207	r2	e11952	chebi
co152	e12650	r2	e11554	chebi
co153	e13465	r2	e12650	chebi
co154	e60099	r2	e13465	chebi
co155	e63171	r2	e65051	chebi
co156	e13032	r2	e12650	chebi
co157	e62848	r2	e13032	chebi
co158	e13356	r2	e13542	chebi
co159	e13356	r2	e11492	chebi
co160	e64211	r2	e13356	chebi
co161	e12846	r2	e64211	chebi
co162	e11478	r2	e13356	chebi
co163	e11478	r2	e13006	chebi
co164	e63678	r2	e11478	chebi
co165	e13712	r2	e11642	chebi
co166	e11957	r2	e65408	chebi
co167	e12062	r2	e65408	chebi
co168	e11629	r2	e12062	chebi
co169	e59911	r2	e12062	chebi
co170	e13264	r2	e12062	chebi
co171	e60404	r2	e13264	chebi
co172	e62912	r2	e13264	chebi
co173	e13186	r2	e11443	chebi
co174	e64302	r2	e12960	chebi
co175	e63621	r2	e12059	chebi
co176	e61782	r2	e12059	chebi
co177	e61782	r2	e11616	chebi
co178	e64304	r2	e12059	chebi
co179	e60987	r2	e11389	chebi
co180	e61872	r2	e64607	chebi
co181	e61950	r2	e64607	chebi
co182	e62444	r2	e64607	chebi
co183	e13279	r2	e64179	chebi
co184	e62803	r2	e13279	chebi
co185	e63262	r2	e64179	chebi
co186	e11773	r2	e11980	chebi
co187	e11773	r2	e12376	chebi
co188	e13257	r2	e11773	chebi
co189	e60500	r2	e13257	chebi
co190	e60500	r2	e11443	chebi
co191	e13328	r2	e11980	chebi
co192	e12865	r2	e13328	chebi
co193	e60742	r2	e12865	chebi
co194	e61349	r2	e12865	chebi
co195	e11630	r2	e13328	chebi
co196	e11630	r2	e13185	chebi
co197	e13185	r2	e11980	chebi
co198	e11443	r2	e13309	chebi
co199	e63888	r2	e11443	chebi
co200	e13311	r2	e11443	chebi
co201	e13311	r2	e12823	chebi
co202	e13184	r2	e11443	chebi
co203	e13699	r2	e11443	chebi
co204	e13699	r2	e59724	chebi
co205	e62352	r2	e11443	chebi
co206	e13358	r2	e13170	chebi
co207	e13360	r2	e12295	chebi
co208	e11709	r2	e13047	chebi
co209	e13831	r2	e11709	chebi
co210	e10600	r2	e13758	chebi
co211	e12769	r2	e62416	chebi
co212	e12769	r2	e12768	chebi
co213	e63723	r2	e12769	chebi
co214	e63723	r2	e13739	chebi
co215	e62598	r2	e60623	chebi
co216	e61470	r2	e62416	chebi
co217	e62403	r2	e13270	chebi
co218	e60031	r2	e12296	chebi
co219	e60485	r2	e62096	chebi
co220	e60205	r2	e62096	chebi
co221	e61645	r2	e12296	chebi
co222	e13590	r2	e12296	chebi
co223	e61873	r2	e12296	chebi
co224	e60815	r2	e12296	chebi
co225	e61153	r2	e12296	chebi
co226	e61569	r2	e12296	chebi
co227	e10934	r2	e13396	chebi
co228	e13757	r2	e10934	chebi
co229	e63801	r2	e13762	chebi
co230	e13615	r2	e11631	chebi
co231	e10721	r2	e11631	chebi
co232	e60939	r2	e13512	chebi
co233	e64212	r2	e13880	chebi
co234	e12172	r2	e13880	chebi
co235	e11451	r2	e64357	chebi
co236	e62199	r2	e64499	chebi
co237	e60696	r2	e12672	chebi
co238	e62107	r2	e13126	chebi
co239	e61513	r2	e13126	chebi
co240	e61513	r2	e62509	chebi
co241	e13354	r2	e13874	chebi
co242	e63895	r2	e13354	chebi
co243	e61790	r2	e63895	chebi
co244	e64575	r2	e13354	chebi
co245	e62895	r2	e64575	chebi
co246	e11389	r2	e13354	chebi
co247	e63384	r2	e12641	chebi
co248	e60975	r2	e12641	chebi
co249	e12638	r2	e12641	chebi
co250	e11581	r2	e12638	chebi
co251	e64571	r2	e12638	chebi
co252	e63079	r2	e64571	chebi
co253	e63321	r2	e64571	chebi
co254	e13193	r2	e13190	chebi
co255	e11760	r2	e13193	chebi
co256	e13606	r2	e13193	chebi
co257	e12037	r2	e13193	chebi
co258	e13658	r2	e13193	chebi
co259	e13382	r2	e13193	chebi
co260	e61766	r2	e12962	chebi
co261	e12961	r2	e12962	chebi
co262	e61888	r2	e12961	chebi
co263	e62011	r2	e12961	chebi
co264	e12963	r2	e12962	chebi
co265	e60769	r2	e12963	chebi
co266	e63107	r2	e12963	chebi
co267	e61556	r2	e60428	chebi
co268	e13875	r2	e13880	chebi
co269	e11573	r2	e11352	chebi
co270	e62737	r2	e11573	chebi
co271	e13877	r2	e11659	chebi
co272	e13879	r2	e64236	chebi
co273	e59703	r2	e13879	chebi
co274	e60614	r2	e59703	chebi
co275	e60614	r2	e60909	chebi
co276	e61627	r2	e59703	chebi
co277	e61627	r2	e60041	chebi
co278	e60977	r2	e13879	chebi
co279	e61030	r2	e60977	chebi
co280	e61030	r2	e60909	chebi
co281	e60837	r2	e60977	chebi
co282	e60837	r2	e60041	chebi
co283	e62724	r2	e65051	chebi
co284	e60741	r2	e11776	chebi
co285	e63657	r2	e11776	chebi
