foodatlas_id	foodon
e1	['fruit']
e2	['seafood']
e3	['mammalian meat']
e4	['plant seed or nut']
e5	['legume']
e6	['fruit']
e7	['other plant']
e8	['other plant']
e9	['other plant']
e10	['mammalian meat']
e11	['mammalian meat']
e12	['mammalian meat']
e13	['mammalian meat']
e14	['mammalian meat']
e15	['dairy']
e16	['dairy']
e17	['dairy']
e18	['dairy']
e19	['other plant']
e20	['vegetable']
e21	['dairy']
e22	['unclassified']
e23	['other plant']
e24	['other plant']
e25	['other plant']
e26	['dairy']
e27	['dairy']
e28	['vegetable']
e29	['dairy']
e30	['dairy']
e31	['dairy']
e32	['dairy']
e33	['dairy']
e34	['dairy']
e35	['dairy']
e36	['dairy']
e37	['dairy']
e38	['dairy']
e39	['dairy']
e40	['dairy']
e41	['mammalian meat']
e42	['mammalian meat']
e43	['avian']
e44	['mammalian meat']
e45	['dairy']
e46	['dairy']
e47	['dairy']
e48	['dairy']
e49	['seafood']
e50	['dairy']
e51	['mammalian meat']
e52	['legume']
e53	['other plant']
e54	['other plant']
e55	['dairy']
e56	['seafood']
e57	['seafood']
e58	['other plant']
e59	['fruit']
e60	['fruit']
e61	['fruit']
e62	['other plant']
e63	['mammalian meat']
e64	['other plant']
e65	['other plant']
e66	['other plant']
e67	['dairy']
e68	['fruit']
e69	['dairy']
e70	['legume']
e71	['fruit']
e72	['plant seed or nut']
e73	['dairy']
e74	['other plant']
e75	['mammalian meat']
e76	['legume']
e77	['other plant']
e78	['dairy']
e79	['dairy']
e80	['dairy']
e81	['dairy']
e82	['other plant']
e83	['plant seed or nut']
e84	['other plant']
e85	['dairy']
e86	['dairy']
e87	['other animal']
e88	['plant seed or nut']
e89	['fruit']
e90	['other plant']
e91	['other plant']
e92	['fruit']
e93	['fruit']
e94	['fruit']
e95	['fruit']
e96	['other plant']
e97	['other plant']
e98	['seafood']
e99	['avian']
e100	['dairy']
e101	['dairy']
e102	['dairy']
e103	['dairy']
e104	['dairy']
e105	['dairy']
e106	['dairy']
e107	['dairy']
e108	['dairy']
e109	['dairy']
e110	['dairy']
e111	['dairy']
e112	['dairy']
e113	['dairy']
e114	['dairy']
e115	['dairy']
e116	['dairy']
e117	['dairy']
e118	['dairy']
e119	['dairy']
e120	['dairy']
e121	['dairy']
e122	['dairy']
e123	['dairy']
e124	['dairy']
e125	['avian']
e126	['mammalian meat']
e127	['mammalian meat']
e128	['other plant']
e129	['other plant']
e130	['other plant']
e131	['other plant']
e132	['fruit']
e133	['plant seed or nut']
e134	['other plant']
e135	['unclassified']
e136	['unclassified']
e137	['unclassified']
e138	['other plant']
e139	['other plant']
e140	['other plant']
e141	['fruit']
e142	['fruit']
e143	['fruit']
e144	['fruit']
e145	['fruit']
e146	['fruit']
e147	['fruit']
e148	['fruit']
e149	['fruit']
e150	['fruit']
e151	['fruit']
e152	['fruit']
e153	['fruit']
e154	['fruit']
e155	['other plant']
e156	['other plant']
e157	['other plant']
e158	['other plant']
e159	['fruit']
e160	['other plant']
e161	['plant seed or nut']
e162	['plant seed or nut']
e163	['other plant']
e164	['other plant']
e165	['other animal']
e166	['other animal']
e167	['other animal']
e168	['other plant']
e169	['vegetable']
e170	['unclassified']
e171	['plant seed or nut']
e172	['plant seed or nut']
e173	['plant seed or nut']
e174	['plant seed or nut']
e175	['plant seed or nut']
e176	['plant seed or nut']
e177	['plant seed or nut']
e178	['plant seed or nut']
e179	['legume']
e180	['legume']
e181	['legume']
e182	['legume']
e183	['legume']
e184	['legume']
e185	['legume']
e186	['legume']
e187	['legume']
e188	['legume']
e189	['legume']
e190	['legume']
e191	['legume']
e192	['legume']
e193	['legume']
e194	['plant seed or nut']
e195	['plant seed or nut']
e196	['dairy']
e197	['dairy']
e198	['other animal']
e199	['mammalian meat']
e200	['mammalian meat']
e201	['mammalian meat']
e202	['mammalian meat']
e203	['mammalian meat']
e204	['mammalian meat']
e205	['mammalian meat']
e206	['fruit']
e207	['fruit']
e208	['dairy']
e209	['plant seed or nut']
e210	['other plant']
e211	['legume']
e212	['seafood']
e213	['other animal']
e214	['unclassified']
e215	['other plant']
e216	['mammalian meat']
e217	['other plant']
e218	['other animal']
e219	['other plant']
e220	['other plant']
e221	['other plant']
e222	['other plant']
e223	['seafood']
e224	['seafood']
e225	['seafood']
e226	['avian']
e227	['other animal']
e228	['other plant']
e229	['other plant']
e230	['other plant']
e231	['dairy']
e232	['dairy']
e233	['other plant']
e234	['vegetable']
e235	['other plant']
e236	['seafood']
e237	['legume']
e238	['dairy']
e239	['dairy']
e240	['dairy']
e241	['dairy']
e242	['dairy']
e243	['dairy']
e244	['dairy']
e245	['dairy']
e246	['other animal']
e247	['avian']
e248	['fruit']
e249	['fruit']
e250	['plant seed or nut']
e251	['dairy']
e252	['mammalian meat']
e253	['avian']
e254	['avian']
e255	['avian']
e256	['avian']
e257	['fruit']
e258	['seafood']
e259	['seafood']
e260	['seafood']
e261	['dairy']
e262	['dairy']
e263	['dairy']
e264	['dairy']
e265	['dairy']
e266	['dairy']
e267	['dairy']
e268	['seafood']
e269	['seafood']
e270	['seafood']
e271	['seafood']
e272	['seafood']
e273	['vegetable']
e274	['vegetable']
e275	['vegetable']
e276	['vegetable']
e277	['vegetable']
e278	['vegetable']
e279	['vegetable']
e280	['seafood']
e281	['seafood']
e282	['seafood']
