name	foodatlas_id
pectin	['e1']
lobster tail food product	['e2']
mammalian meat (ground)	['e3']
cereal food fines (byproduct)	['e4']
pea (whole or pieces)	['e5']
orange juice (liquid)	['e6']
fermented agave juice	['e7']
fermenting sugar cane juice	['e8']
fermenting elaeis palm sap food product	['e9']
mammalian meat food product	['e10']
meat sausage food product	['e11']
liver paste	['e12']
hot dog	['e13']
processed meat food product	['e14']
milk formula food product	['e15']
milk formula (powdered)	['e16']
cheese food product	['e17']
yogurt food product	['e18']
plant food product	['e19']
cabbage food product	['e20']
commercial yogurt	['e21']
cheese starter culture food product	['e22']
wort food product	['e23']
beer wort food product	['e24']
acifified beer wort food product	['e25']
bleu de bresse cheese	['e26']
mammalian milk butter	['e27']
pickled cabbage food product	['e28']
camembert cheese food product	['e29']
cheddar cheese food product	['e30']
brie cheese food product	['e31']
gouda cheese food product	['e32']
halloumi cheese food product	['e33']
gorgonzola cheese food product	['e34']
swiss cheese food product	['e35']
emmenthal cheese	['e36']
harzer cheese food product	['e37']
new zealand cheddar cheese food product	['e38']
pont ieveque cheese food product	['e39']
vacherin mont dor cheese food product	['e40']
pork meat food product	['e41']
cured meat food product	['e42']
chicken meat food product	['e43']
beef food product	['e44']
cow food product	['e44']
bovine milk beverage	['e45']
ovine milk beverage	['e46']
caprine milk beverage	['e47']
ice cream food product	['e48']
animal seafood product	['e49']
meshanger cheese food product	['e50']
pork chop food product	['e51']
tempeh food product	['e52']
fermented rice beverage	['e53']
amasake food product	['e54']
fermented dairy food product	['e55']
fermented fish or seafood food product	['e56']
sea water fish food product	['e57']
flour food product	['e58']
plant fruit food product	['e59']
fruit extract food product	['e60']
apple juice	['e61']
awamori food product	['e62']
bacon food product	['e63']
fermented millet food product	['e64']
millet beer food product	['e65']
bottled beer food product	['e66']
blue cheese food product	['e67']
bottled fruit food product	['e68']
buttermilk food product	['e69']
miso food product	['e70']
grape must	['e71']
barley malt vinegar	['e72']
mammalian milk (nonfat, dry)	['e73']
sake food product	['e74']
salt pork meat food product	['e75']
fermented soybean food product	['e76']
tape kefan food product	['e77']
bondon cheese food product	['e78']
bitter cheese food product	['e79']
evaporated milk food product	['e80']
kefir food product	['e81']
vegetable oil food product	['e82']
flaxseed oil	['e83']
milled corn food product	['e84']
sour milk beverage	['e85']
dried milk food product	['e86']
vertebrate animal food product	['e87']
cereal grain food product	['e88']
fermented grape beverage	['e89']
fermented elaeis palm beverage	['e90']
fermented sugar cane beverage	['e91']
fermented apple beverage	['e92']
apple beverage	['e93']
orange fruit beverage	['e94']
grape beverage	['e95']
fermented grain beverage	['e96']
fermented agave beverage	['e97']
sea water fish egg food product	['e98']
avian egg food product	['e99']
camelid dairy food product	['e100']
bovine dairy food product	['e101']
buffalo dairy food product	['e102']
caprine dairy food product	['e103']
donkey dairy food product	['e104']
equine dairy food product	['e105']
ovine dairy food product	['e106']
yak dairy food product	['e107']
zebra dairy food product	['e108']
reindeer dairy food product	['e109']
water buffalo dairy food product	['e110']
