foodatlas_id	head_id	relationship_id	tail_id	metadata_ids
t1	e1234	r1	e203902	['mc1']
t2	e1234	r1	e203905	['mc2']
t3	e1234	r1	e203918	['mc3']
t4	e1234	r1	e65101	['mc4']
t5	e1234	r1	e203829	['mc5']
t6	e1234	r1	e63177	['mc6']
t7	e1234	r1	e203940	['mc7']
t8	e1234	r1	e203957	['mc8']
t9	e1234	r1	e203986	['mc9']
t10	e1234	r1	e203876	['mc10']
t11	e1234	r1	e203899	['mc11']
t12	e1234	r1	e59701	['mc12', 'mc22']
t13	e1234	r1	e203852	['mc13']
t14	e1234	r1	e203926	['mc14']
t15	e1234	r1	e203913	['mc15']
t16	e1234	r1	e12830	['mc16']
t17	e1234	r1	e61406	['mc17']
t18	e1234	r1	e203916	['mc18']
t19	e1234	r1	e203950	['mc19']
t20	e1234	r1	e63804	['mc20']
t21	e1234	r1	e62037	['mc21', 'mc85']
t22	e1234	r1	e12449	['mc23']
t23	e1234	r1	e61340	['mc24']
t24	e1234	r1	e59722	['mc25']
t25	e1234	r1	e63305	['mc26']
t26	e1234	r1	e34198	['mc27']
t27	e1234	r1	e64213	['mc28']
t28	e1234	r1	e203911	['mc29']
t29	e1234	r1	e203956	['mc30']
t30	e1234	r1	e203960	['mc31']
t31	e1234	r1	e63558	['mc32']
t32	e1234	r1	e204009	['mc33']
t33	e1234	r1	e203961	['mc34']
t34	e1234	r1	e62045	['mc35']
t35	e1234	r1	e61782	['mc36']
t36	e1234	r1	e203942	['mc37']
t37	e1234	r1	e64215	['mc38']
t38	e1234	r1	e60839	['mc39', 'mc104']
t39	e1234	r1	e203933	['mc40']
t40	e1234	r1	e65064	['mc41']
t41	e1234	r1	e204021	['mc42']
t42	e1234	r1	e62146	['mc43']
t43	e1234	r1	e64214	['mc44']
t44	e1234	r1	e203904	['mc45']
t45	e1234	r1	e14120	['mc46']
t46	e1234	r1	e204007	['mc47']
t47	e1234	r1	e10897	['mc48']
t48	e1234	r1	e13037	['mc49']
t49	e1234	r1	e63271	['mc50', 'mc51']
t50	e1234	r1	e203821	['mc52']
t51	e1234	r1	e203987	['mc53']
t52	e1234	r1	e203822	['mc54']
t53	e1234	r1	e63807	['mc55']
t54	e1234	r1	e203912	['mc56']
t55	e1234	r1	e204015	['mc57']
t56	e1234	r1	e203877	['mc58']
t57	e1234	r1	e203831	['mc59']
t58	e1234	r1	e203824	['mc60']
t59	e1234	r1	e64386	['mc61']
t60	e1234	r1	e203943	['mc62']
t61	e1234	r1	e203962	['mc63']
t62	e1234	r1	e203906	['mc64']
t63	e1234	r1	e203931	['mc65']
t64	e1234	r1	e203927	['mc66']
