ID,Modal,Pillar(s),,,,Reference Document,Ask,Description,Date Raised,Status,ID,Cursor Instruction
,,Body,Planet,Ethics,Open,,,,,,,
1,TruScore Engine,x,x,x,x,Body Pillar - Comprehensive Database Analysis,Review & Recommend,"Conduct an Impact analysis and consider for MVP release if the Body Pillar's ""Multi-Tier Database Queries (Parallel Execution)"" code should be further simplified by; a) eliminating Tiers 4 and/or Tier 5 and/or Tier 6? (i.e. does this adversly and materially reduce hit rates? If not, does the coding simplification deliver benefits?); b) eliminate non-consumable databse sources (i.e. human consumable food and drink)  e.g. OPFF, OBF, EWG; c) eliminate Retailer databases e.g. Coles, Woolworths, Pak 'n'Save.  As a secondary step, consider the same impact analysis and potential for simplification for the databe query logic used by the other pillars (where relevant) adopting the same principles.",12/26/2025,,1,1) Remove Non-Consumable databases 2) Remove  Retailer Databases 3) Retain Tier Structure Footnote: preserve ability to 'reconnect' those databases for post MVP expanision to enable  household scoring and for Pricing Modal implementation (i.e. retailer databases critical dependency)
2,TruScore Engine,x,,,,Body Pillar - Comprehensive Database Analysis,Align Code to Specification,"If you agree that the ""risky tags"" penalty is duplicative with the IARC and Safety penalties in the Body specification then remove. (Step 7 Body Pillar Score Calculation; Calculation Process step 4)",12/26/2025,Agreed as duplicatibve and removed from code,2,Remove 'Risky Tags' Penalty
3,TruScore Engine,x,,,,Body Pillar - Comprehensive Database Analysis,Align Code to Specification,"If you agree that the ""univeral irritants"" penalty is not relevant for MVP food and drink scope then remove. (Step 7 Body Pillar Score Calculation; Calculation Process step 5)",12/26/2025,Clarified - retained in Body Pillar scoring code for food packaging contamination risk.,3,Retain Universal Irritants penalty (all 4 irritants) as per your Alternative Recommendation.
4,TruScore Engine,x,,,,Body Pillar - Comprehensive Database Analysis,Align Code to Specification,"Review inconsistencies in the ""IARC ingredient checking"" (Step 7 Body Pillar Score Calculation; Calculation Process step 6).  Does the cap of -10 conflicts with the cap of -15 in Step 3 of the Calculation Process?",12/26/2025,Clarified - mutually exclusive.  Retain separtae caps in code for ingredients tags (-10) and additives i.e. eNumbers (-15),4,Retain separtae caps in code for Ingredients tags (-10) and Additives i.e. eNumbers (-15).  Proven not duplicative.
5,TruScore Engine,x,,,,Body Pillar - Comprehensive Database Analysis,Align Code to Specification,"Remove the ""EWG Adjustment"" (Step 7 Body Pillar Score Calculation; Calculation Process setp 7).  This step is for household products only and not required for MVP (scope for MVP is human consumables)",12/26/2025,Retain.  Does not impact code/performance for Food/Drink MVP.  Embedded for when we extend to household.,5,Retain EWG adjustment.  Redundant for MVP but not impacting food/drink scoring and functionality.
6,TruScore Engine,x,,,,Body Pillar - Comprehensive Database Analysis,Align Code to Specification,"Remove the ""Unknown"" scoring in the Additivie Decision Tree for non-food (0.75) and food (1.5) products.  Scoring deductions are to be as per the Body specification against identified and confrimed IARC classification or Safety Rating.",12/26/2025,Agreed as unreasonable penalty (unknown additve does not equal unsafe) and removed from Code.,6,Remove Unknown Additive scoring.
7,TruScore Engine,x,,,,Body Pillar - Comprehensive Database Analysis,Explain,Explain how the FSANZ databse can return 50-60% when other geo-databases that used barcode identifiers return less? (e.g. UK FSA 25-35%).  It is more intuitive to presume that the success rate for a database that relies on product name matching and not universal barcode identifiers would have a lower success rate.,12/26/2025,Clarified.  Other Geo databases sometimes have less coverage (e.g. UK FSA only for tested/regulated products) and name mathcing and fuzzy logic not implemented outside FSANZ,7,"Assess suitability and estimated improvement in query success rate if expanding FSANZ name search functionality to other geo and nutriotnal databse API's  i.e.  'Early Product Name Discoveyr', 'Name Variations' & Fuzzy Matching.   "
8,TruScore Engine,x,,,,Body Pillar - Comprehensive Database Analysis,"Explain, then Implement","Re your ""High Priority Recommendation: Caluculate Nutri-Score from Nutrition Data"" (when OFF Nutri-Score missing).  This sounds like a good idea, however please first explain how the nutriscore algortihim would work to simulate an OFF calculated nutriscore grade.  Is their algorithm usabkle to derive the same result for a product?  Bottom line, if this enhancement can be achieved to exactly simulate OFF NutriScore calculations and scoring  (i.e. without developing a proppeitary/bespoke algortihm that yields different results and is subject to crticicism as a result), then proceed.    ",12/26/2025,,8,Proceed with implementation of NutriScore algorithm where OFF missing.
9,TruScore Engine,x,,,,Body Pillar - Comprehensive Database Analysis,"Explain, then Implement","Re your ""High Priority Recommendation: Caluculate NOVA from Ingredients/Additives"" (when OFF NOVA missing)  This sounds like a good idea, however please first explain how the NOVA algortihim would work to simulate an OFF calculated nutriscore grade.  Is their algorithm usable to derive the same result for a product?  Bottom line, if this enhancement can be achieved to exactly simulate OFF NutriScore calculations and scoring  (i.e. without developing a proppeitary/bespoke algortihm that yields different results and is subject to crticicism as a result), then proceed.    ",12/26/2025,,9,Assess feasibility of a limited approach to Nova simulated scoring by limiting to Nova Group 1 assessment and classication scoring only.  i.e. does confidence level increase if only attempting to provide a NOVA score for natural or minimally processes foods? (where the NOVA score not publsihed 
10,TruScore Engine,,,,,Body Pillar - Data Merging - Explainer,Implement,"The current data merging logic places exlusive reliance on User Contributed data (source weight 1.0) for nutrient information where available.  Reliance on Government Datbases and Open Food Facts is preferred.  We do not wish to collect, nor allow override on nutrional data submission from Users.  Reliance on 3rd party governmenet and (verified) crowdsourced databases like OFF is safer.    ",12/26/2025,,10,Remove User-contributed Nutrition data override.  Footnote - retain user contribution capability for; a) exporting to OFF and; b) adding to in house datbase where product not found when scanning. (TruScore community verified process invoked)
