claimId,approvedWording_or_exactText,claimClass,surfaceLocation,sourceType,sourceReference,dependentFields,dependentCodePath,owner,status,lastReviewedDate,mustNotSay,notes
onb-welcome-title,SOURCE:i18n onboarding.title,C_app_native_interpretation,Onboarding welcome,i18n,src/i18n/locales/en.json:onboarding.title,onboarding.title,app/onboarding.tsx,Product,approved,2026-04-14,TrueScan|TruScore|guaranteed,
onb-slide1-food-transparency,SOURCE:i18n onboarding.slide1.*,C_app_native_interpretation,Onboarding slide 1,i18n,src/i18n/locales/en.json:onboarding.slide1,title+description,app/onboarding.tsx,Product,approved,2026-04-14,proven|verified safe,
onb-slide2-rveel-score,SOURCE:i18n onboarding.slide2.*,C_app_native_interpretation,Onboarding slide 2,i18n,src/i18n/locales/en.json:onboarding.slide2,title+description,app/onboarding.tsx,Product,draft,2026-04-14,instant medical|official rating,Marketing line; align with methodology limits
onb-slide3-privacy,SOURCE:i18n onboarding.slide3.*,C_app_native_interpretation,Onboarding slide 3,i18n,src/i18n/locales/en.json:onboarding.slide3,title+description,app/onboarding.tsx,Legal/Compliance,approved,2026-04-14,never tracked,No absolute if analytics toggle exists
onb-legal-disclaimer-checkbox,SOURCE:i18n onboarding.legalDisclaimerCheckbox,C_app_native_interpretation,Onboarding legal step,i18n,src/i18n/locales/en.json:onboarding.legalDisclaimerCheckbox,checkbox label,src/components/productLegal/OnboardingLegalAcceptanceStep.tsx,Legal/Compliance,approved,2026-04-14,,
onb-legal-data-limit-checkbox,SOURCE:i18n onboarding.legalDataLimitationsCheckbox,C_app_native_interpretation,Onboarding legal step,i18n,src/i18n/locales/en.json:onboarding.legalDataLimitationsCheckbox,checkbox label,src/components/productLegal/OnboardingLegalAcceptanceStep.tsx,Legal/Compliance,approved,2026-04-14,,
legal-disclaimer-p1,SOURCE:i18n result.legalDisclaimerModalP1,C_app_native_interpretation,Result disclaimer modal,i18n,src/i18n/locales/en.json:result.legalDisclaimerModalP1,modal paragraph,src/components/productLegal/ProductDisclaimerCard.tsx,Legal/Compliance,approved,2026-04-14,fda approved|miracle cure,
legal-disclaimer-p2,SOURCE:i18n result.legalDisclaimerModalP2,C_app_native_interpretation,Result disclaimer modal,i18n,src/i18n/locales/en.json:result.legalDisclaimerModalP2,modal paragraph,src/components/productLegal/ProductDisclaimerCard.tsx,Legal/Compliance,approved,2026-04-14,guaranteed accuracy|always correct,
legal-disclaimer-p3,SOURCE:i18n result.legalDisclaimerModalP3,C_app_native_interpretation,Result disclaimer modal,i18n,src/i18n/locales/en.json:result.legalDisclaimerModalP3,modal paragraph,src/components/productLegal/ProductDisclaimerCard.tsx,Legal/Compliance,approved,2026-04-14,ignore the label,
legal-disclaimer-p4,SOURCE:i18n result.legalDisclaimerModalP4,C_app_native_interpretation,Result disclaimer modal,i18n,src/i18n/locales/en.json:result.legalDisclaimerModalP4,modal paragraph,src/components/productLegal/ProductDisclaimerCard.tsx,Legal/Compliance,approved,2026-04-14,fda cleared device|guaranteed accuracy,EN uses no warranty; avoid substring false positives on warranty
