barcode,market,pack_tier,notes
9300601249114,AU,core,Seeded from scripts/barcodes_au_80.txt
9300605157200,AU,core,
9300632000000,AU,core,
9300633000000,AU,core,
9300633910198,AU,core,
9300645019629,AU,core,
9300650022898,AU,core,
9300652010794,AU,core,
9300652014396,AU,core,
9300657003425,AU,core,
9300675001113,AU,core,
9300675003001,AU,core,
9300675016902,AU,core,
9300677006437,AU,core,
9300694335947,AU,core,
93100062212972,AU,core,GTIN-14 style in seed list
9310036039655,AU,core,
9310036044239,AU,core,
9310047207180,AU,core,
9310055105850,AU,core,
9310055105904,AU,core,
