signal_target_id,signal_id,market_key,target_type,target_label,canonical_target_id,propagation_mode,required_brand_id,required_parent_id,product_match_terms,verified_gtins,verified_gtin_evidence,scope_review_summary,coverage_state,confidence_state,review_state,resolution_status,lineage_reference,product_scope_guard
TGT-100,SIG-SR-AU-001-20260918,AU,product,Chickadees recalled product line,TGT-100,exact_only,B0654,P0156,chickadees,9310988019279 | 9310988019309 | 9310988016353,9310988019279 -> https://brandz-cms.s3-ap-southeast-2.amazonaws.com/brochures/June2021/FJJSibPGCSrBxX8a6qp8.pdf ; https://www.inlanddistributors.com.au/SHOP | 9310988019309 -> https://www.woolworths.com.au/shop/help/product-recalls/2026-product-recalls/chickadees-90g ; https://www.inlanddistributors.com.au/SHOP | 9310988016353 -> https://www.foodlandsa.com.au/wp-content/uploads/2023/09/FINAL_Win-a-Year-of-Groceries_Terms-and-Conditions_Participating-Products.pdf ; https://world.openfoodfacts.org/product/9310988016353,Bounded Chickadees product target. A verified GTIN match may establish relevance directly; otherwise Chaining must resolve Chickadees and the reviewed product-name term must match. Pack size and date markings do not gate publication.,exact_product,confirmed,reviewed,resolved,FSANZ-CHICKADEES-20260710,
TGT-104,SIG-SR-AU-002-20260918,AU,product,Allen's iNSiDE OUTS,TGT-104,exact_only,B0059,P0008,inside outs | insideouts,9300605162921,9300605162921 -> https://drakes.com.au/wp-content/uploads/2026/06/Inside-Outs-customer-letter-AU-recall.pdf ; https://www.woolworths.com.au/shop/help/product-recalls/2026-product-recalls/allen-s-inside-outs-130g,"Bounded Allen's iNSiDE OUTS product target. Verified GTIN is positive-only alternative evidence; otherwise resolved Allen's identity plus a reviewed product-name term is required. Pack size, batch and date do not gate publication.",exact_product,confirmed,reviewed,resolved,FSANZ-ALLENS-INSIDEOUTS-20260602,
TGT-105,SIG-SR-NZ-002-20260918,NZ,product,Pams Beef Lasagne,TGT-105,exact_only,B0024,P0003,beef lasagne,9415077182329 | 9415077370979,9415077182329 -> https://www.pams.co.nz/product-finder/5307712 | 9415077370979 -> https://kiwisquare.co.nz/grocery/product/pams-beef-lasagne-350g-9415077370979?fallbackTitle=Pams+Beef+Lasagne+350g,Bounded Pams Beef Lasagne product target. Verified GTIN is positive-only alternative evidence; otherwise resolved Pams identity plus the reviewed product-name term is required. Pack size and printed date do not gate publication.,exact_product,confirmed,reviewed,resolved,MPI-PAMS-LASAGNE-20260227,
TGT-125,SIG-SR-NZ-003-20260918,NZ,product,Vogel's breads — MPI 11 Aug 2026 named lines,TGT-125,exact_only,B0175,P0040,original mixed grain very thin | original mixed grain sandwich | original mixed grain toast | dark rye toast | sprouted whole grain toast | fruit and spice extra thick,9414987012252,9414987012252 -> https://world.openfoodfacts.org/product/9414987012252/toast-sprouted-whole-grains-vogel-s ; https://www.mpi.govt.nz/news/media-releases/various-vogels-breads-recalled-due-to-possible-presence-of-small-metal-pieces,"One bounded Vogel's recall target covering the six MPI-named bread lines. Any reviewed product-name alternative or verified GTIN may establish relevance. Pack weight, Best Before and South Island distribution are consumer qualification, not firing gates.",exact_product,confirmed,reviewed,resolved,MPI-VOGELS-METAL-20260811,
TGT-126,SIG-SR-AU-004-20260918,AU,product,Mr Chen's Szechuan Chilli Oil,TGT-126,exact_only,B0796,P0175,szechuan chilli oil,9349673005624,9349673005624 -> https://www.woolworths.com.au/shop/help/product-recalls/2026-product-recalls/mr-chens-szechuan-chilli-oil-250g ; https://www.foodstandards.gov.au/food-recalls/recall-alert/chen-foods-mr-chens-szechuan-chilli-oil-250g,Bounded Mr Chen's Szechuan Chilli Oil product target. Verified GTIN is positive-only alternative evidence; otherwise resolved Mr Chen's identity plus the reviewed product-name term is required. Pack size and best-before dates do not gate publication.,exact_product,confirmed,reviewed,resolved,FSANZ-MRCHENS-20260818,
TGT-127,SIG-SR-AU-005,AU,product,Red Hat Cookia Matcha Chocolate Flavor,TGT-127,exact_only,B0799,P0178,cookia matcha chocolate flavor | cookia matcha chocolate flavour,4975186250043,4975186250043 -> https://seijoishii.com/products/4975186250043 ; https://fanbi-store.jp/shop/g/g30292/,Bounded Red Hat Cookia Matcha Chocolate product target. Verified GTIN is positive-only alternative evidence; otherwise resolved Red Hat identity plus a reviewed product-name term is required. Pack size and best-before dates do not gate publication.,exact_product,confirmed,reviewed,resolved,FSANZ-REDHAT-20260911,
TGT-128,SIG-SR-AU-006,AU,product,JC Seafood Sweet Chilli and Lime Salmon Portions,TGT-128,exact_only,B0800,P0179,sweet chilli and lime salmon portions | sweet chilli & lime salmon portions,,,"Bounded JC Seafood salmon-portions product target. Verified GTIN is positive-only alternative evidence; otherwise resolved JC Seafood identity plus a reviewed product-name term is required. Pack size, retailer and best-before date do not gate publication.",exact_product,confirmed,reviewed,resolved,FSANZ-JCSEAFOOD-20260910,
TGT-129,SIG-SR-AU-007,AU,product,Austral Herbs Certified Organic Premium Peppermint Leaf,TGT-129,exact_only,B0797,P0176,certified organic premium peppermint leaf | premium peppermint leaf,,,Bounded Austral Herbs peppermint-leaf product target. Verified GTIN is positive-only alternative evidence; otherwise resolved Austral Herbs identity plus a reviewed product-name term is required. Pack size and best-before date do not gate publication.,exact_product,confirmed,reviewed,resolved,FSANZ-AUSTRALHERBS-20260909,
TGT-130,SIG-SR-AU-008,AU,product,Mon Sire Brie — AU recall,TGT-130,exact_only,B0798,P0177,brie,,,"Bounded Mon Sire Brie product target for the Australian recall. Verified GTIN is positive-only alternative evidence; otherwise resolved Mon Sire identity plus the reviewed 'brie' term is required. Pack size, retailer and best-before date do not gate publication. AU market separation remains mandatory.",exact_product,confirmed,reviewed,resolved,FSANZ-MONSIRE-AU-20260904,
TGT-131,SIG-SR-NZ-004,NZ,product,Dongwon Fried Bean Curd,TGT-131,exact_only,B0801,P0180,fried bean curd,8801047559610,8801047559610 -> https://www.hanyangmart.com/products/dongwon-seasoned-fried-bean-curd-340g ; https://www.mpi.govt.nz/food-safety-home/food-recalls-and-complaints/recalled-food-products/dongwon-brand-fried-bean-curd-recalled-due-to-the-presence-of-undeclared-allergens-egg-milk-sesame,Bounded Dongwon Fried Bean Curd product target. Verified GTIN is positive-only alternative evidence; otherwise resolved Dongwon identity plus the reviewed product-name term is required. Pack size and retailer do not gate publication.,exact_product,confirmed,reviewed,resolved,MPI-DONGWON-20260911,
