brand_id,parent_brand_id,review_state,confidence_state,lineage_reference,notes
B0241,B0067,reviewed,strong,DSA-v0.2-remediation|cadbury-dairy-milk,Cadbury Dairy Milk is a reviewed child brand of Cadbury (B0067); supports brand_descendants for Cadbury-wide Signals. Ritz (B0069) is a sibling under Mondelez parent only — not a Cadbury brand child.
B0242,B0067,reviewed,strong,chaining-refresh-20260816,Authorised Component 2 brand_child_of_brand edge.
B0243,B0067,reviewed,strong,chaining-refresh-20260816,Authorised Component 2 brand_child_of_brand edge.
B0244,B0067,reviewed,strong,chaining-refresh-20260816,Authorised Component 2 brand_child_of_brand edge.
B0245,B0067,reviewed,strong,chaining-refresh-20260816,Authorised Component 2 brand_child_of_brand edge.
B0246,B0067,reviewed,strong,chaining-refresh-20260816,Authorised Component 2 brand_child_of_brand edge.
B0658,B0067,reviewed,strong,chaining-refresh-20260816,Authorised Component 2 brand_child_of_brand edge.
B0659,B0067,reviewed,strong,chaining-refresh-20260816,Authorised Component 2 brand_child_of_brand edge.
B0660,B0067,reviewed,strong,chaining-refresh-20260816,Authorised Component 2 brand_child_of_brand edge.
B0661,B0067,reviewed,strong,chaining-refresh-20260816,Authorised Component 2 brand_child_of_brand edge.
B0662,B0067,reviewed,strong,chaining-refresh-20260816,Authorised Component 2 brand_child_of_brand edge.
B0663,B0067,reviewed,strong,chaining-refresh-20260816,Authorised Component 2 brand_child_of_brand edge.
B0664,B0067,reviewed,strong,chaining-refresh-20260816,Authorised Component 2 brand_child_of_brand edge.
B0665,B0067,reviewed,strong,chaining-refresh-20260816,Authorised Component 2 brand_child_of_brand edge.
B0666,B0067,reviewed,strong,chaining-refresh-20260816,Authorised Component 2 brand_child_of_brand edge.
B0667,B0067,reviewed,strong,chaining-refresh-20260816,Authorised Component 2 brand_child_of_brand edge.
B0668,B0067,reviewed,strong,chaining-refresh-20260816,Authorised Component 2 brand_child_of_brand edge.
B0669,B0067,reviewed,strong,chaining-refresh-20260816,Authorised Component 2 brand_child_of_brand edge.
B0670,B0067,reviewed,strong,chaining-refresh-20260816,Authorised Component 2 brand_child_of_brand edge.
B0671,B0067,reviewed,strong,chaining-refresh-20260816,Authorised Component 2 brand_child_of_brand edge.
B0672,B0067,reviewed,strong,chaining-refresh-20260816,Authorised Component 2 brand_child_of_brand edge.
B0540,B0675,reviewed,strong,chaining-refresh-20260816,Authorised Component 2 brand_child_of_brand edge.
B0541,B0675,reviewed,strong,chaining-refresh-20260816,Authorised Component 2 brand_child_of_brand edge.
B0542,B0675,reviewed,strong,chaining-refresh-20260816,Authorised Component 2 brand_child_of_brand edge.
B0543,B0675,reviewed,strong,chaining-refresh-20260816,Authorised Component 2 brand_child_of_brand edge.
B0544,B0675,reviewed,strong,chaining-refresh-20260816,Authorised Component 2 brand_child_of_brand edge.
B0545,B0675,reviewed,strong,chaining-refresh-20260816,Authorised Component 2 brand_child_of_brand edge.
B0546,B0675,reviewed,strong,chaining-refresh-20260816,Authorised Component 2 brand_child_of_brand edge.
B0547,B0675,reviewed,strong,chaining-refresh-20260816,Authorised Component 2 brand_child_of_brand edge.
B0548,B0675,reviewed,strong,chaining-refresh-20260816,Authorised Component 2 brand_child_of_brand edge.
B0549,B0675,reviewed,strong,chaining-refresh-20260816,Authorised Component 2 brand_child_of_brand edge.
B0550,B0675,reviewed,strong,chaining-refresh-20260816,Authorised Component 2 brand_child_of_brand edge.
B0551,B0675,reviewed,strong,chaining-refresh-20260816,Authorised Component 2 brand_child_of_brand edge.
B0552,B0675,reviewed,strong,chaining-refresh-20260816,Authorised Component 2 brand_child_of_brand edge.
B0553,B0675,reviewed,strong,chaining-refresh-20260816,Authorised Component 2 brand_child_of_brand edge.
B0554,B0675,reviewed,strong,chaining-refresh-20260816,Authorised Component 2 brand_child_of_brand edge.
B0555,B0675,reviewed,strong,chaining-refresh-20260816,Authorised Component 2 brand_child_of_brand edge.
B0556,B0675,reviewed,strong,chaining-refresh-20260816,Authorised Component 2 brand_child_of_brand edge.
B0557,B0675,reviewed,strong,chaining-refresh-20260816,Authorised Component 2 brand_child_of_brand edge.
B0233,B0064,reviewed,strong,chaining-refresh-20260816,Authorised Component 2 brand_child_of_brand edge.
B0255,B0076,reviewed,strong,chaining-refresh-20260816,Authorised Component 2 brand_child_of_brand edge.
B0686,B0337,reviewed,strong,chaining-refresh-20260816,Authorised Component 2 brand_child_of_brand edge.
B0349,B0154,reviewed,strong,chaining-refresh-20260816,Authorised Component 2 brand_child_of_brand edge.
B0717,B0185,reviewed,strong,chaining-refresh-20260816,Authorised Component 2 brand_child_of_brand edge.
B0718,B0185,reviewed,strong,chaining-refresh-20260816,Authorised Component 2 brand_child_of_brand edge.
B0719,B0185,reviewed,strong,chaining-refresh-20260816,Authorised Component 2 brand_child_of_brand edge.
B0720,B0185,reviewed,strong,chaining-refresh-20260816,Authorised Component 2 brand_child_of_brand edge.
B0721,B0185,reviewed,strong,chaining-refresh-20260816,Authorised Component 2 brand_child_of_brand edge.
B0722,B0185,reviewed,strong,chaining-refresh-20260816,Authorised Component 2 brand_child_of_brand edge.
B0187,B0185,reviewed,strong,chaining-refresh-20260816,Authorised Component 2 brand_child_of_brand edge.
B0186,B0185,reviewed,strong,chaining-refresh-20260816,Authorised Component 2 brand_child_of_brand edge.
