product_identity_id,display_name,market_key,anchor_brand_id,anchor_parent_id,review_state,confidence_state,lineage_reference,notes
PI_CHICKADEES_MULTIPACK_6X19G,Chickadees Multipack 6x19g (114g),AU,B0654,P0156,reviewed,confirmed,FSANZ-CHICKADEES-20260710,Exact pack identity for Safety target; GTIN optional
PI_CHICKADEES_190G,Chickadees 190g,AU,B0654,P0156,reviewed,confirmed,FSANZ-CHICKADEES-20260710,Exact pack identity for Safety target; GTIN optional
PI_CHICKADEES_90G,Chickadees 90g,AU,B0654,P0156,reviewed,confirmed,FSANZ-CHICKADEES-20260710,Exact pack identity for Safety target; GTIN optional
PI_CHICKADEES_45G,Chickadees 45g,AU,B0654,P0156,reviewed,confirmed,FSANZ-CHICKADEES-20260710,Exact pack identity for Safety target; GTIN optional
PI_ALLENS_INSIDEOUTS_130G,Allen's iNSiDE OUTS 130g,AU,B0059,P0008,reviewed,confirmed,FSANZ-ALLENS-INSIDEOUTS-20260602,Exact pack identity; GTIN optional
PI_PAMS_BEEF_LASAGNE_1_3KG,Pams Beef Lasagne 1.3kg,NZ,B0024,P0003,reviewed,confirmed,MPI-PAMS-LASAGNE-20260227,Exact pack identity; GTIN optional
PI_MRCHENS_CHILLI_OIL_250G,Mr Chen's Szechuan Chilli Oil 250g,AU,B0796,P0175,reviewed,confirmed,FSANZ-MRCHENS-20260818,Exact pack identity; GTIN optional
PI_REDHAT_COOKIA_80G,Red Hat Cookia Matcha Chocolate Flavor 80g,AU,,,reviewed,confirmed,FSANZ-REDHAT-20260911,Exact pack; brand row optional — alias carries full official name
PI_JCSEAFOOD_SALMON_275G,JC Seafood Sweet Chilli and Lime Salmon Portions 275g,AU,,,reviewed,confirmed,FSANZ-JCSEAFOOD-20260910,Exact pack; alias carries full official name
PI_MONSIRE_BRIE_AU_1KG,Brie Mon Sire 1kg,AU,B0798,P0177,reviewed,confirmed,FSANZ-MONSIRE-AU-20260904,AU 1kg only; market AU on identity
PI_DONGWON_BEANCURD_340G,Dongwon Fried Bean Curd 340g,NZ,,,reviewed,confirmed,MPI-DONGWON-20260911,Exact pack; alias carries full official name
PI_WW_MULTIGRAIN_500G,Woolworths Multi Grain Cereal 500g,NZ,B0001,P0001,reviewed,confirmed,MPI-WOOLWORTHS-MULTIGRAIN-20260908,Exact 500g cereal; must not bind other Woolworths products
PI_ANCHOR_BLUE_MILK_POWDER_400G,Anchor Blue Milk Powder 400g,NZ,B0139,P0020,reviewed,confirmed,CONSUMERNZ-ANCHOR-BLUE-20260211,Exact pack; packaging-version still may require pack check
PI_PAMS_SPARKLING_WATER_HSR,Pams sparkling water,NZ,B0024,P0003,reviewed,confirmed,RNZ-590339,Product line identity; label-version still may require pack check
