enum_name,enum_value
review_state,seeded
review_state,provisional
review_state,reviewed
review_state,disputed
review_state,archived
parent_type,public_company
parent_type,private_company
parent_type,cooperative
parent_type,state_owned
parent_type,other
parent_operating_role,retailer
parent_operating_role,manufacturer
parent_operating_role,brand_owner
parent_operating_role,mixed
parent_operating_role,other
parent_cohort_category,supermarket_retailer_parent
parent_cohort_category,global_food_beverage_parent
parent_cohort_category,regional_food_beverage_parent
parent_cohort_category,category_specialist_parent
brand_type,global_brand
brand_type,local_brand
brand_type,retailer_own_label
brand_type,brand_family
alias_type,spelling_variation
alias_type,punctuation_variation
alias_type,casing_variation
alias_type,short_form
alias_type,common_shorthand
alias_type,packaging_variation
alias_type,retailer_listing_variation
alias_type,local_market_variant
alias_type,legacy_brand_name
alias_type,imported_seed_alias
alias_type,off_observed_alias
alias_source_type,official_parent_brand_page
alias_source_type,official_brand_page
alias_source_type,retailer_product_page
alias_source_type,retailer_own_brand_page
alias_source_type,off_brand_field
alias_source_type,off_product_name_field
alias_source_type,off_packaging_or_label_text
alias_source_type,off_user_submission_observation
alias_source_type,packaging_observation
alias_source_type,imported_bbfaw_seed
alias_source_type,imported_ktc_seed
alias_source_type,manual_stewardship
alias_source_type,product_specification_document
alias_source_type,retailer_catalogue_audit
alias_source_type,other
product_link_source_type,off
product_link_source_type,manual_review
product_link_source_type,retailer_data
product_link_source_type,packaging_observation
product_link_source_type,imported_seed
product_link_source_type,retailer_catalogue_audit
product_link_source_type,other
operational_entity_type,manufacturer
operational_entity_type,importer
operational_entity_type,distributor
operational_entity_type,licensee
operational_use_case_reason,recall_matching
operational_use_case_reason,safety_regulatory_matching
operational_use_case_reason,major_signal_relevance
change_trigger_source_type,corporate_press_release
change_trigger_source_type,stock_exchange_announcement
change_trigger_source_type,official_brand_page
change_trigger_source_type,official_company_portfolio_page
change_trigger_source_type,analyst_or_manual_detection
change_trigger_source_type,other
change_candidate_state,detected
change_candidate_state,under_review
change_candidate_state,approved
change_candidate_state,rejected
change_candidate_state,archived
candidate_state,candidate
candidate_state,promoted
candidate_state,rejected
candidate_state,parked
candidate_state,insufficient_source
stewardship_action_type,create
stewardship_action_type,update
stewardship_action_type,alias_add
stewardship_action_type,alias_remove
stewardship_action_type,ownership_change_approved
stewardship_action_type,ownership_change_rejected
stewardship_action_type,archive
stewardship_action_type,review_state_change
stewardship_action_type,merge_entities
stewardship_action_type,split_entities
stewardship_action_type,candidate_promoted
stewardship_action_type,candidate_rejected
catalogue_match_status,matched_canonical_brand
catalogue_match_status,matched_alias
catalogue_match_status,parent_known_brand_missing
catalogue_match_status,parent_unknown
catalogue_match_status,insufficient_source
catalogue_match_status,excluded_non_food_beverage
catalogue_match_status,duplicate_or_rejected
