audit_row_id,retailer,retailer_category,source_page_title,source_url,catalogue_product_title_or_snippet,extracted_brand_candidate,match_basis,matched_y_n,matched_brand_id,matched_canonical_brand_name,matched_parent_display_name,gap_type,recommended_action,priority,notes
COLP001,Coles,Crackers & Crispbreads,Browse Crackers & Crispbreads,https://www.coles.com.au/browse/chips-chocolates-snacks/crackers-rice-cakes/crackers-crispbreads,Maggie Beer Rosemary Oven Baked Crackers | 130g,Maggie Beer,no_match,N,,,,missing_brand_or_alias,candidate review,High,Candidate new parent/brand; Coles category snippet exposes shelf presence.
COLP002,Coles,Crackers & Crispbreads,Browse Crackers & Crispbreads,https://www.coles.com.au/browse/chips-chocolates-snacks/crackers-rice-cakes/crackers-crispbreads,Ritz Original Crackers | 227g,Ritz,canonical_brand,Y,B0069,Ritz,"Mondelez International, Inc.",,none,Low,Already present under Mondelez.
COLP003,Coles,Arnott's brand page,Shop Arnotts Products Online,https://www.coles.com.au/brands/arnotts-1655129700,Arnott's Shapes Original BBQ | 175g,Arnott's,canonical_brand,Y,B0185,Arnott's,The Arnott's Group,,none,Low,Parent/brand present; sub-brand/product family coverage may warrant alias enrichment.
COLP004,Coles,Arnott's brand page,Shop Arnotts Products Online,https://www.coles.com.au/brands/arnotts-1655129700,Arnott's Savoy Crackers Original | 225g,Savoy,no_match,N,,,,missing_brand_or_alias,candidate brand or alias under Arnott's Group,Medium,Likely brand/sub-brand gap under Arnott's; candidate brand or alias.
COLP005,Coles,Workplace snacks,Breakroom snacks,https://www.coles.com.au/offers/workplace-supplies-hub/snacks,Arnott's Tim Tam Chocolate Biscuits Original | 200g,Tim Tam,canonical_brand,Y,B0187,Tim Tam,The Arnott's Group,,none,Low,Already present under Arnott's.
COLP006,Coles,Flavoured snacks,Browse Flavoured Snacks,https://www.coles.com.au/browse/chips-chocolates-snacks/crackers-rice-cakes/flavoured-snacks,Sunbites Biscuit Crackers Share Pack Sour Cream & Chives | 110g,Sunbites,canonical_brand,Y,B0256,Sunbites,"PepsiCo, Inc.",,none,Low,Already present under PepsiCo.
COLP007,Coles,Breakfast,Browse Breakfast,https://www.coles.com.au/browse/pantry/breakfast?page=5,Sanitarium Weet-bix Multi-grain Breakfast Cereal | 575g,Sanitarium,canonical_brand,Y,B0153,Sanitarium,Sanitarium Health Food Company,,none,Low,Already present; Weet-Bix also present.
COLP008,Coles,Breakfast,Browse Breakfast,https://www.coles.com.au/browse/pantry/breakfast?page=5,Uncle Tobys Oats Quick Sachets Breakfast Cereal Creamy Honey | 700g,Uncle Tobys,canonical_brand,Y,B0064,Uncle Tobys,Nestlé S.A.,,none,Low,Already present under Nestlé.
COLP009,Coles,Drinks,Browse Drinks,https://www.coles.com.au/browse/drinks?page=4,Coca-Cola Classic Soft Drink Multipack Cans 10x375ml,Coca-Cola,canonical_brand,Y,B0087,Coca-Cola,The Coca-Cola Company,,none,Low,Already present under The Coca-Cola Company.
COLP010,Coles,Drinks,Browse Drinks,https://www.coles.com.au/browse/drinks?page=4,Mount Franklin Lightly Sparkling Water Lime | 10 Pack,Mount Franklin,canonical_brand,Y,B0090,Mount Franklin,The Coca-Cola Company,,none,Low,Already present under The Coca-Cola Company.
COLP011,Coles,Yoghurt tubs,Browse Yoghurt Tubs,https://www.coles.com.au/browse/dairy-eggs-fridge/yoghurt/yoghurt-tubs,Jalna Dairy Yoghurt Greek Style | 2kg,Jalna,canonical_brand,Y,B0197,Jalna,Jalna Dairy Foods Pty Ltd,,none,Low,Already present.
COLP012,Coles,"Dairy, Eggs & Fridge","Browse Dairy, Eggs & Fridge",https://www.coles.com.au/browse/dairy-eggs-fridge?page=23,Gippsland Dairy Smooth & Creamy Twist Yoghurt | 700g,Gippsland Dairy,no_match,N,,,,missing_brand_or_alias,candidate review,High,Candidate missing brand; Chobani Australia product page/source suggests brand belongs under Chobani.
COLP013,Coles,"Dairy, Eggs & Fridge","Browse Dairy, Eggs & Fridge",https://www.coles.com.au/browse/dairy-eggs-fridge?page=23,Farmers Union Protein Yoghurt | 900g,Farmers Union,canonical_brand,Y,B0337,Farmers Union,Bega Group Limited,,none,Low,Already present under Bega Group.
COLP014,Coles,Pizza & Pasta Sauces,Browse Pizza & Pasta - Sauces,https://www.coles.com.au/browse/pantry/sauces/pizza-pasta,Val Verde Passata Cooking Sauce | 700mL,Val Verde,no_match,N,,,,missing_brand_or_alias,candidate review,High,Candidate missing brand/parent; Val Verde privacy/source identifies Conga Foods as brand owner.
COLP015,Coles,Pizza & Pasta Sauces,Browse Pizza & Pasta - Sauces,https://www.coles.com.au/browse/pantry/sauces/pizza-pasta,Dolmio Extra Pasta Sauce Bolognese | 500g,Dolmio,canonical_brand,Y,B0042,Dolmio,"Mars, Incorporated",,none,Low,Already present under Mars.
COLP016,Coles,Microwave Rice,Browse Microwave Rice,https://www.coles.com.au/browse/pantry/pasta-rice-legumes-grains/microwave-rice,Coles Long Grain White Microwave Rice | 250g,Coles,canonical_brand,Y,B0200,Coles,Coles Group Limited,,none,Low,Already present under Coles Group.
COLP017,Coles,Microwave Rice,Browse Microwave Rice,https://www.coles.com.au/browse/pantry/pasta-rice-legumes-grains/microwave-rice,Tilda Steamed Basmati Pure Rice | 250g,Tilda,no_match,N,,,,missing_brand_or_alias,candidate review,High,Candidate missing brand/parent; Ebro Foods acquired Tilda.
COLP018,Coles,"Pasta, Rice, Legumes & Grains","Browse Pasta, Rice, Legumes & Grains",https://www.coles.com.au/browse/pantry/pasta-rice-legumes-grains?page=8,Ben's Original Special Fried Rice Pouch | 250g,Ben's Original,canonical_brand,Y,B0039,Ben's Original,"Mars, Incorporated",,none,Low,Already present under Mars.
COLP019,Coles,Packaged Breads,Browse Packaged Breads,https://www.coles.com.au/browse/bakery/packaged-breads,Tip Top The One White Toast Bread | 700g,Tip Top,canonical_brand,Y,B0301,Tip Top,Associated British Foods plc,,none,Low,Already present under Associated British Foods.
COLP020,Coles,Packaged Breads,Browse Packaged Breads,https://www.coles.com.au/browse/bakery/packaged-breads,Abbott's Bakery Rustic White Bread | 700g,Abbott's Bakery,canonical_brand,Y,B0302,Abbott's Bakery,Associated British Foods plc,,none,Low,Already present under Associated British Foods.
COLP021,Coles,Free From Bakery,Browse Free From,https://www.coles.com.au/browse/dietary-world-foods/free-from?page=9,Helga's Gluten Free Mixed Grain Bread | 500g,Helga's,canonical_brand,Y,B0171,Helga's,Goodman Fielder Pty Limited,,none,Low,Already present under Goodman Fielder.
COLP022,Coles,"Pantry > Canned Food, Soups & Noodles","Coles Canned Food, Soups & Noodles",https://www.coles.com.au/browse/pantry/canned-food-soups-noodles,Heinz Rigatoni Pasta Meal With Creamy Alfredo | 350g,Heinz,direct_brand,Y,B0114,Heinz,The Kraft Heinz Company,,,high,v0.7 focused Coles audit row. Match is exact/alias against v0.7 asset if present; gaps flow to Parent_Extension_Candidates.
COLP023,Coles,"Pantry > Canned Food, Soups & Noodles > Baked Beans & Spaghetti",Coles Baked Beans & Spaghetti,https://www.coles.com.au/browse/pantry/canned-food-soups-noodles/baked-beans-spaghetti,Wattie’s Spaghetti Regular | 420g,Wattie's,direct_brand,Y,B0116,Wattie's,The Kraft Heinz Company,,,high,v0.7 focused Coles audit row. Match is exact/alias against v0.7 asset if present; gaps flow to Parent_Extension_Candidates.
COLP024,Coles,"Pantry > Canned Food, Soups & Noodles","Coles Canned Food, Soups & Noodles",https://www.coles.com.au/browse/pantry/canned-food-soups-noodles?page=18,SPC Spaghetti in Tomato & Cheese | 420g,SPC,no_match,N,,,,candidate_parent_or_brand_gap,Review parent/brand and add candidate if source supports it.,high,v0.7 focused Coles audit row. Match is exact/alias against v0.7 asset if present; gaps flow to Parent_Extension_Candidates.
COLP025,Coles,"Pantry > Canned Food, Soups & Noodles","Coles Canned Food, Soups & Noodles",https://www.coles.com.au/browse/pantry/canned-food-soups-noodles?page=25,John West Tuna Tomato & Onion 98% Fat Free | 95g,John West,direct_brand,Y,B0178,John West,Simplot Australia Pty Limited,,,high,v0.7 focused Coles audit row. Match is exact/alias against v0.7 asset if present; gaps flow to Parent_Extension_Candidates.
