audit_row_id,retailer,retailer_country,department,category_path,product_title_raw,extracted_brand_candidate,normalized_brand_candidate,match_status,matched_brand_id,matched_alias_id,parent_extension_candidate_id,audit_date,notes_internal
COLP001,Coles,,,,,Maggie Beer,,,,,,,
COLP002,Coles,,,,,Ritz,,,B0069,,,,
COLP003,Coles,,,,,Arnott's,,,B0185,,,,
COLP004,Coles,,,,,Savoy,,,,,,,
COLP005,Coles,,,,,Tim Tam,,,B0187,,,,
COLP006,Coles,,,,,Sunbites,,,B0256,,,,
COLP007,Coles,,,,,Sanitarium,,,B0153,,,,
COLP008,Coles,,,,,Uncle Tobys,,,B0064,,,,
COLP009,Coles,,,,,Coca-Cola,,,B0087,,,,
COLP010,Coles,,,,,Mount Franklin,,,B0090,,,,
COLP011,Coles,,,,,Jalna,,,B0197,,,,
COLP012,Coles,,,,,Gippsland Dairy,,,,,,,
COLP013,Coles,,,,,Farmers Union,,,B0337,,,,
COLP014,Coles,,,,,Val Verde,,,,,,,
COLP015,Coles,,,,,Dolmio,,,B0042,,,,
COLP016,Coles,,,,,Coles,,,B0200,,,,
COLP017,Coles,,,,,Tilda,,,,,,,
COLP018,Coles,,,,,Ben's Original,,,B0039,,,,
COLP019,Coles,,,,,Tip Top,,,B0301,,,,
COLP020,Coles,,,,,Abbott's Bakery,,,B0302,,,,
COLP021,Coles,,,,,Helga's,,,B0171,,,,
COLP022,Coles,,,,,Heinz,,,B0114,,,,
COLP023,Coles,,,,,Wattie's,,,B0116,,,,
COLP024,Coles,,,,,SPC,,,,,,,
COLP025,Coles,,,,,John West,,,B0178,,,,
COLP026,Coles,,,,,Edgell,,,B0177,,,,
COLP027,Coles,,,,,Indomie,,,,,,,
COLP028,Coles,,,,,Maggi,,,B0063,,,,
COLP029,Coles,,,,,Fantastic,,,,,,,
COLP030,Coles,,,,,Continental,,,B0100,,,,
COLP031,Coles,,,,,My Muscle Chef,,,,,,,
COLP032,Coles,,,,,Youfoodz,,,,,,,
COLP033,Coles,,,,,On The Menu,,,B0468,,,,
COLP034,Coles,,,,,Super Nature,,,,,,,
COLP035,Coles,,,,,Lean Cuisine,,,,,,,
COLP036,Coles,,,,,Healthy Choice,,,,,,,
COLP037,Coles,,,,,Red Rock Deli,,,B0079,,,,
COLP038,Coles,,,,,Twisties,,,B0080,,,,
COLP039,Coles,,,,,Pringles,,,B0558,,,,
COLP040,Coles,,,,,Cobs,,,,,,,
COLP041,Coles,,,,,Sakata,,,B0081,,,,
