enum_group,enum_value,description
review_state,seeded,A3/A5 v0.12 pack enum value for review_state
review_state,provisional,A3/A5 v0.12 pack enum value for review_state
review_state,reviewed,A3/A5 v0.12 pack enum value for review_state
review_state,disputed,A3/A5 v0.12 pack enum value for review_state
review_state,archived,A3/A5 v0.12 pack enum value for review_state
parent_type,public_company,A3/A5 v0.12 pack enum value for parent_type
parent_type,private_company,A3/A5 v0.12 pack enum value for parent_type
parent_type,cooperative,A3/A5 v0.12 pack enum value for parent_type
parent_type,state_owned,A3/A5 v0.12 pack enum value for parent_type
parent_type,other,A3/A5 v0.12 pack enum value for parent_type
parent_operating_role,retailer,A3/A5 v0.12 pack enum value for parent_operating_role
parent_operating_role,manufacturer,A3/A5 v0.12 pack enum value for parent_operating_role
parent_operating_role,brand_owner,A3/A5 v0.12 pack enum value for parent_operating_role
parent_operating_role,mixed,A3/A5 v0.12 pack enum value for parent_operating_role
parent_operating_role,other,A3/A5 v0.12 pack enum value for parent_operating_role
parent_cohort_category,supermarket_retailer_parent,A3/A5 v0.12 pack enum value for parent_cohort_category
parent_cohort_category,global_food_beverage_parent,A3/A5 v0.12 pack enum value for parent_cohort_category
parent_cohort_category,regional_food_beverage_parent,A3/A5 v0.12 pack enum value for parent_cohort_category
parent_cohort_category,category_specialist_parent,A3/A5 v0.12 pack enum value for parent_cohort_category
brand_type,global_brand,A3/A5 v0.12 pack enum value for brand_type
brand_type,local_brand,A3/A5 v0.12 pack enum value for brand_type
brand_type,retailer_own_label,A3/A5 v0.12 pack enum value for brand_type
brand_type,brand_family,A3/A5 v0.12 pack enum value for brand_type
alias_type,spelling_variation,A3/A5 v0.12 pack enum value for alias_type
alias_type,punctuation_variation,A3/A5 v0.12 pack enum value for alias_type
alias_type,casing_variation,A3/A5 v0.12 pack enum value for alias_type
alias_type,short_form,A3/A5 v0.12 pack enum value for alias_type
alias_type,common_shorthand,A3/A5 v0.12 pack enum value for alias_type
alias_type,packaging_variation,A3/A5 v0.12 pack enum value for alias_type
alias_type,retailer_listing_variation,A3/A5 v0.12 pack enum value for alias_type
alias_type,local_market_variant,A3/A5 v0.12 pack enum value for alias_type
alias_type,legacy_brand_name,A3/A5 v0.12 pack enum value for alias_type
alias_type,imported_seed_alias,A3/A5 v0.12 pack enum value for alias_type
alias_type,off_observed_alias,A3/A5 v0.12 pack enum value for alias_type
alias_source_type,official_parent_brand_page,A3/A5 v0.12 pack enum value for alias_source_type
alias_source_type,official_brand_page,A3/A5 v0.12 pack enum value for alias_source_type
alias_source_type,retailer_product_page,A3/A5 v0.12 pack enum value for alias_source_type
alias_source_type,retailer_own_brand_page,A3/A5 v0.12 pack enum value for alias_source_type
alias_source_type,off_brand_field,A3/A5 v0.12 pack enum value for alias_source_type
alias_source_type,off_product_name_field,A3/A5 v0.12 pack enum value for alias_source_type
alias_source_type,off_packaging_or_label_text,A3/A5 v0.12 pack enum value for alias_source_type
alias_source_type,off_user_submission_observation,A3/A5 v0.12 pack enum value for alias_source_type
alias_source_type,packaging_observation,A3/A5 v0.12 pack enum value for alias_source_type
alias_source_type,imported_bbfaw_seed,A3/A5 v0.12 pack enum value for alias_source_type
alias_source_type,imported_ktc_seed,A3/A5 v0.12 pack enum value for alias_source_type
alias_source_type,manual_stewardship,A3/A5 v0.12 pack enum value for alias_source_type
alias_source_type,product_specification_document,A3/A5 v0.12 pack enum value for alias_source_type
alias_source_type,retailer_catalogue_audit,A3/A5 v0.12 pack enum value for alias_source_type
alias_source_type,other,A3/A5 v0.12 pack enum value for alias_source_type
product_link_source_type,off,A3/A5 v0.12 pack enum value for product_link_source_type
product_link_source_type,manual_review,A3/A5 v0.12 pack enum value for product_link_source_type
product_link_source_type,retailer_data,A3/A5 v0.12 pack enum value for product_link_source_type
product_link_source_type,packaging_observation,A3/A5 v0.12 pack enum value for product_link_source_type
product_link_source_type,imported_seed,A3/A5 v0.12 pack enum value for product_link_source_type
product_link_source_type,retailer_catalogue_audit,A3/A5 v0.12 pack enum value for product_link_source_type
product_link_source_type,other,A3/A5 v0.12 pack enum value for product_link_source_type
operational_entity_type,manufacturer,A3/A5 v0.12 pack enum value for operational_entity_type
operational_entity_type,importer,A3/A5 v0.12 pack enum value for operational_entity_type
operational_entity_type,distributor,A3/A5 v0.12 pack enum value for operational_entity_type
operational_entity_type,licensee,A3/A5 v0.12 pack enum value for operational_entity_type
operational_use_case_reason,recall_matching,A3/A5 v0.12 pack enum value for operational_use_case_reason
operational_use_case_reason,safety_regulatory_matching,A3/A5 v0.12 pack enum value for operational_use_case_reason
operational_use_case_reason,major_signal_relevance,A3/A5 v0.12 pack enum value for operational_use_case_reason
change_trigger_source_type,corporate_press_release,A3/A5 v0.12 pack enum value for change_trigger_source_type
change_trigger_source_type,stock_exchange_announcement,A3/A5 v0.12 pack enum value for change_trigger_source_type
change_trigger_source_type,official_brand_page,A3/A5 v0.12 pack enum value for change_trigger_source_type
change_trigger_source_type,official_company_portfolio_page,A3/A5 v0.12 pack enum value for change_trigger_source_type
change_trigger_source_type,analyst_or_manual_detection,A3/A5 v0.12 pack enum value for change_trigger_source_type
change_trigger_source_type,other,A3/A5 v0.12 pack enum value for change_trigger_source_type
change_candidate_state,detected,A3/A5 v0.12 pack enum value for change_candidate_state
change_candidate_state,under_review,A3/A5 v0.12 pack enum value for change_candidate_state
change_candidate_state,approved,A3/A5 v0.12 pack enum value for change_candidate_state
change_candidate_state,rejected,A3/A5 v0.12 pack enum value for change_candidate_state
change_candidate_state,archived,A3/A5 v0.12 pack enum value for change_candidate_state
candidate_state,candidate,A3/A5 v0.12 pack enum value for candidate_state
candidate_state,promoted,A3/A5 v0.12 pack enum value for candidate_state
candidate_state,rejected,A3/A5 v0.12 pack enum value for candidate_state
candidate_state,parked,A3/A5 v0.12 pack enum value for candidate_state
candidate_state,insufficient_source,A3/A5 v0.12 pack enum value for candidate_state
stewardship_action_type,create,A3/A5 v0.12 pack enum value for stewardship_action_type
stewardship_action_type,update,A3/A5 v0.12 pack enum value for stewardship_action_type
stewardship_action_type,alias_add,A3/A5 v0.12 pack enum value for stewardship_action_type
stewardship_action_type,alias_remove,A3/A5 v0.12 pack enum value for stewardship_action_type
stewardship_action_type,ownership_change_approved,A3/A5 v0.12 pack enum value for stewardship_action_type
stewardship_action_type,ownership_change_rejected,A3/A5 v0.12 pack enum value for stewardship_action_type
stewardship_action_type,archive,A3/A5 v0.12 pack enum value for stewardship_action_type
