alias_id,alias_text,alias_normalized,alias_type,alias_source_type,brand_id,canonical_brand_name,parent_id,parent_display_name,review_state,source_id,source_reference,notes_internal
A0001,Woolies,woolies,common_shorthand,manual_stewardship,B0001,Woolworths,P0001,Woolworths Group Limited,reviewed,SRC_WOOLWORTHS_GROUP_BRANDS,SRC_WOOLWORTHS_GROUP_BRANDS,Brand-level alias added in v0.3; parent-level aliases removed.
A0002,Macro,macro,common_shorthand,manual_stewardship,B0008,Woolworths Macro,P0001,Woolworths Group Limited,reviewed,SRC_WOOLWORTHS_GROUP_BRANDS,SRC_WOOLWORTHS_GROUP_BRANDS,Brand-level alias added in v0.3; parent-level aliases removed.
A0003,Macro Organic,macro organic,common_shorthand,manual_stewardship,B0008,Woolworths Macro,P0001,Woolworths Group Limited,reviewed,SRC_WOOLWORTHS_GROUP_BRANDS,SRC_WOOLWORTHS_GROUP_BRANDS,Brand-level alias added in v0.3; parent-level aliases removed.
A0004,Essentials,essentials,common_shorthand,manual_stewardship,B0007,Woolworths Essentials,P0001,Woolworths Group Limited,reviewed,SRC_WOOLWORTHS_GROUP_BRANDS,SRC_WOOLWORTHS_GROUP_BRANDS,Brand-level alias added in v0.3; parent-level aliases removed.
A0005,Woolies Food Co,woolies food co,common_shorthand,manual_stewardship,B0199,Woolworths Food Company,P0001,Woolworths Group Limited,reviewed,SRC_WOOLWORTHS_GROUP_BRANDS,SRC_WOOLWORTHS_GROUP_BRANDS,Brand-level alias added in v0.3; parent-level aliases removed.
A0006,Coles,coles,common_shorthand,manual_stewardship,B0200,Coles,P0002,Coles Group Limited,reviewed,SRC_COLES_OWN_BRANDS,SRC_COLES_OWN_BRANDS,Brand-level alias added in v0.3; parent-level aliases removed. | Retargeted from archived Coles Brand B0013 to Coles master B0200
A0007,Nature's Kitchen,nature s kitchen,common_shorthand,manual_stewardship,B0201,Coles Nature's Kitchen,P0002,Coles Group Limited,reviewed,SRC_COLES_OWN_BRANDS,SRC_COLES_OWN_BRANDS,Brand-level alias added in v0.3; parent-level aliases removed.
A0008,I'm Free From,i m free from,common_shorthand,manual_stewardship,B0016,Coles I'm Free From,P0002,Coles Group Limited,reviewed,SRC_COLES_OWN_BRANDS,SRC_COLES_OWN_BRANDS,Brand-level alias added in v0.3; parent-level aliases removed.
A0009,Pam's,pam s,common_shorthand,manual_stewardship,B0024,Pams,P0003,Foodstuffs New Zealand,reviewed,SRC_FOODSTUFFS_OUR_BRANDS,SRC_FOODSTUFFS_OUR_BRANDS,Brand-level alias added in v0.3; parent-level aliases removed.
A0010,Pam's Finest,pam s finest,common_shorthand,manual_stewardship,B0025,Pams Finest,P0003,Foodstuffs New Zealand,reviewed,SRC_FOODSTUFFS_OUR_BRANDS,SRC_FOODSTUFFS_OUR_BRANDS,Brand-level alias added in v0.3; parent-level aliases removed.
A0011,Pak n Save,pak n save,common_shorthand,manual_stewardship,B0020,PAK'nSAVE,P0003,Foodstuffs New Zealand,reviewed,SRC_FOODSTUFFS_OUR_BRANDS,SRC_FOODSTUFFS_OUR_BRANDS,Brand-level alias added in v0.3; parent-level aliases removed.
A0012,Bakers Life,bakers life,common_shorthand,manual_stewardship,B0210,Baker's Life,P0004,ALDI Süd / ALDI Einkauf SE & Co. oHG,reviewed,SRC_ALDI_AU_BRANDS,SRC_ALDI_AU_BRANDS,Brand-level alias added in v0.3; parent-level aliases removed.
A0013,Black and Gold,black and gold,common_shorthand,manual_stewardship,B0221,Black & Gold,P0005,Metcash Limited,reviewed,SRC_METCASH_IGA_BRANDS,SRC_METCASH_IGA_BRANDS,Brand-level alias added in v0.3; parent-level aliases removed.
A0014,Kirkland,kirkland,common_shorthand,manual_stewardship,B0225,Kirkland Signature,P0006,Costco Wholesale Corporation,reviewed,SRC_COSTCO_KIRKLAND,SRC_COSTCO_KIRKLAND,Brand-level alias added in v0.3; parent-level aliases removed.
A0015,Bens Original,bens original,common_shorthand,manual_stewardship,B0039,Ben's Original,P0007,"Mars, Incorporated",reviewed,SRC_MARS_AU_BRANDS,SRC_MARS_AU_BRANDS,Brand-level alias added in v0.3; parent-level aliases removed.
A0016,Uncle Ben's,uncle ben s,common_shorthand,manual_stewardship,B0039,Ben's Original,P0007,"Mars, Incorporated",reviewed,SRC_MARS_AU_BRANDS,SRC_MARS_AU_BRANDS,Brand-level alias added in v0.3; parent-level aliases removed.
A0017,Uncle Bens,uncle bens,common_shorthand,manual_stewardship,B0039,Ben's Original,P0007,"Mars, Incorporated",reviewed,SRC_MARS_AU_BRANDS,SRC_MARS_AU_BRANDS,Brand-level alias added in v0.3; parent-level aliases removed.
A0018,M&Ms,m ms,common_shorthand,manual_stewardship,B0048,M&M'S,P0007,"Mars, Incorporated",reviewed,SRC_MARS_AU_BRANDS,SRC_MARS_AU_BRANDS,Brand-level alias added in v0.3; parent-level aliases removed.
A0019,M and M's,m and m s,common_shorthand,manual_stewardship,B0048,M&M'S,P0007,"Mars, Incorporated",reviewed,SRC_MARS_AU_BRANDS,SRC_MARS_AU_BRANDS,Brand-level alias added in v0.3; parent-level aliases removed.
A0020,M and Ms,m and ms,common_shorthand,manual_stewardship,B0048,M&M'S,P0007,"Mars, Incorporated",reviewed,SRC_MARS_AU_BRANDS,SRC_MARS_AU_BRANDS,Brand-level alias added in v0.3; parent-level aliases removed.
A0021,Master Foods,master foods,common_shorthand,manual_stewardship,B0051,MasterFoods,P0007,"Mars, Incorporated",reviewed,SRC_MARS_AU_BRANDS,SRC_MARS_AU_BRANDS,Brand-level alias added in v0.3; parent-level aliases removed.
A0022,Wrigleys,wrigleys,common_shorthand,manual_stewardship,B0228,Wrigley's,P0007,"Mars, Incorporated",reviewed,SRC_MARS_AU_BRANDS,SRC_MARS_AU_BRANDS,Brand-level alias added in v0.3; parent-level aliases removed.
A0023,Uncle Toby's,uncle toby s,common_shorthand,manual_stewardship,B0064,Uncle Tobys,P0008,Nestlé S.A.,reviewed,SRC_NESTLE_AU_BRANDS,SRC_NESTLE_AU_BRANDS,Brand-level alias added in v0.3; parent-level aliases removed.
A0024,Uncle Tobies,uncle tobies,common_shorthand,manual_stewardship,B0064,Uncle Tobys,P0008,Nestlé S.A.,reviewed,SRC_NESTLE_AU_BRANDS,SRC_NESTLE_AU_BRANDS,Brand-level alias added in v0.3; parent-level aliases removed.
A0025,Bakers Choice,bakers choice,common_shorthand,manual_stewardship,B0235,Nestlé Bakers' Choice,P0008,Nestlé S.A.,reviewed,SRC_NESTLE_AU_BRANDS,SRC_NESTLE_AU_BRANDS,Brand-level alias added in v0.3; parent-level aliases removed.
A0026,Nestle Condensed Milk,nestle condensed milk,common_shorthand,manual_stewardship,B0237,Nestlé Sweetened Condensed Milk,P0008,Nestlé S.A.,reviewed,SRC_NESTLE_AU_BRANDS,SRC_NESTLE_AU_BRANDS,Brand-level alias added in v0.3; parent-level aliases removed.
A0027,Dairy Milk,dairy milk,common_shorthand,manual_stewardship,B0241,Cadbury Dairy Milk,P0009,"Mondelez International, Inc.",reviewed,SRC_MONDELEZ_BRANDS,SRC_MONDELEZ_BRANDS,Brand-level alias added in v0.3; parent-level aliases removed.
A0028,Natural Confectionery,natural confectionery,common_shorthand,manual_stewardship,B0073,The Natural Confectionery Co.,P0009,"Mondelez International, Inc.",reviewed,SRC_MONDELEZ_BRANDS,SRC_MONDELEZ_BRANDS,Brand-level alias added in v0.3; parent-level aliases removed.
A0029,TNCC,tncc,common_shorthand,manual_stewardship,B0073,The Natural Confectionery Co.,P0009,"Mondelez International, Inc.",reviewed,SRC_MONDELEZ_BRANDS,SRC_MONDELEZ_BRANDS,Brand-level alias added in v0.3; parent-level aliases removed.
A0030,The Natural Confectionery Company,the natural confectionery company,packaging_variation,manual_stewardship,B0073,The Natural Confectionery Co.,P0009,"Mondelez International, Inc.",reviewed,SRC_MONDELEZ_BRANDS,SRC_MONDELEZ_BRANDS,Brand-level alias added in v0.3; parent-level aliases removed.
A0031,Smiths,smiths,common_shorthand,manual_stewardship,B0077,Smith's,P0010,"PepsiCo, Inc.",reviewed,SRC_PEPSICO_AU_BRANDS,SRC_PEPSICO_AU_BRANDS,Brand-level alias added in v0.3; parent-level aliases removed.
A0032,Red Rock,red rock,common_shorthand,manual_stewardship,B0079,Red Rock Deli,P0010,"PepsiCo, Inc.",reviewed,SRC_PEPSICO_AU_BRANDS,SRC_PEPSICO_AU_BRANDS,Brand-level alias added in v0.3; parent-level aliases removed.
A0033,Nobbys,nobbys,common_shorthand,manual_stewardship,B0257,Nobby's,P0010,"PepsiCo, Inc.",reviewed,SRC_PEPSICO_AU_BRANDS,SRC_PEPSICO_AU_BRANDS,Brand-level alias added in v0.3; parent-level aliases removed.
A0034,Coke,coke,common_shorthand,manual_stewardship,B0087,Coca-Cola,P0011,The Coca-Cola Company,reviewed,SRC_COCA_COLA_AU_BRANDS,SRC_COCA_COLA_AU_BRANDS,Brand-level alias added in v0.3; parent-level aliases removed.
A0035,Coke Zero,coke zero,common_shorthand,manual_stewardship,B0263,Coca-Cola Zero Sugar,P0011,The Coca-Cola Company,reviewed,SRC_COCA_COLA_AU_BRANDS,SRC_COCA_COLA_AU_BRANDS,Brand-level alias added in v0.3; parent-level aliases removed.
A0036,Coke No Sugar,coke no sugar,common_shorthand,manual_stewardship,B0263,Coca-Cola Zero Sugar,P0011,The Coca-Cola Company,reviewed,SRC_COCA_COLA_AU_BRANDS,SRC_COCA_COLA_AU_BRANDS,Brand-level alias added in v0.3; parent-level aliases removed.
A0037,Vitaminwater,vitaminwater,common_shorthand,manual_stewardship,B0264,Glacéau Vitaminwater,P0011,The Coca-Cola Company,reviewed,SRC_COCA_COLA_AU_BRANDS,SRC_COCA_COLA_AU_BRANDS,Brand-level alias added in v0.3; parent-level aliases removed.
A0038,Yo Pro,yo pro,common_shorthand,manual_stewardship,B0097,YoPRO,P0012,Danone S.A.,reviewed,SRC_DANONE_GLOBAL_BRANDS,SRC_DANONE_GLOBAL_BRANDS,Brand-level alias added in v0.3; parent-level aliases removed.
A0039,Ben and Jerry's,ben and jerry s,common_shorthand,manual_stewardship,B0110,Ben & Jerry's,P0014,The Magnum Ice Cream Company N.V.,reviewed,SRC_STREETS_BRANDS,SRC_STREETS_BRANDS,Brand-level alias added in v0.3; parent-level aliases removed.
A0040,Ben and Jerrys,ben and jerrys,common_shorthand,manual_stewardship,B0110,Ben & Jerry's,P0014,The Magnum Ice Cream Company N.V.,reviewed,SRC_STREETS_BRANDS,SRC_STREETS_BRANDS,Brand-level alias added in v0.3; parent-level aliases removed.
A0041,Gaytime,gaytime,common_shorthand,manual_stewardship,B0281,Golden Gaytime,P0014,The Magnum Ice Cream Company N.V.,reviewed,SRC_STREETS_BRANDS,SRC_STREETS_BRANDS,Brand-level alias added in v0.3; parent-level aliases removed.
A0042,Watties,watties,common_shorthand,manual_stewardship,B0116,Wattie's,P0016,The Kraft Heinz Company,reviewed,SRC_KRAFT_HEINZ_BRANDS,SRC_KRAFT_HEINZ_BRANDS,Brand-level alias added in v0.3; parent-level aliases removed.
A0043,Lea and Perrins,lea and perrins,common_shorthand,manual_stewardship,B0289,Lea & Perrins,P0016,The Kraft Heinz Company,reviewed,SRC_KRAFT_HEINZ_BRANDS,SRC_KRAFT_HEINZ_BRANDS,Brand-level alias added in v0.3; parent-level aliases removed.
A0044,Bulls Eye,bulls eye,common_shorthand,manual_stewardship,B0291,Bull's-Eye,P0016,The Kraft Heinz Company,reviewed,SRC_KRAFT_HEINZ_BRANDS,SRC_KRAFT_HEINZ_BRANDS,Brand-level alias added in v0.3; parent-level aliases removed.
A0045,Bullseye,bullseye,common_shorthand,manual_stewardship,B0291,Bull's-Eye,P0016,The Kraft Heinz Company,reviewed,SRC_KRAFT_HEINZ_BRANDS,SRC_KRAFT_HEINZ_BRANDS,Brand-level alias added in v0.3; parent-level aliases removed.
A0046,Bueno,bueno,common_shorthand,manual_stewardship,B0295,Kinder Bueno,P0017,Ferrero Group,reviewed,SRC_FERRERO_AU_BRANDS,SRC_FERRERO_AU_BRANDS,Brand-level alias added in v0.3; parent-level aliases removed.
A0047,Abbotts Bakery,abbotts bakery,common_shorthand,manual_stewardship,B0302,Abbott's Bakery,P0018,Associated British Foods plc,reviewed,SRC_ABF_BRANDS,SRC_ABF_BRANDS,Brand-level alias added in v0.3; parent-level aliases removed.
A0048,Abbott's,abbott s,common_shorthand,manual_stewardship,B0302,Abbott's Bakery,P0018,Associated British Foods plc,reviewed,SRC_ABF_BRANDS,SRC_ABF_BRANDS,Brand-level alias added in v0.3; parent-level aliases removed.
A0049,Dads Pies,dads pies,common_shorthand,manual_stewardship,B0308,Dad's Pies,P0018,Associated British Foods plc,reviewed,SRC_ABF_BRANDS,SRC_ABF_BRANDS,Brand-level alias added in v0.3; parent-level aliases removed.
A0050,Gran Cereale,gran cereale,common_shorthand,manual_stewardship,B0318,GranCereale,P0019,Barilla G. e R. Fratelli S.p.A.,reviewed,SRC_BARILLA_GROUP_BRANDS,SRC_BARILLA_GROUP_BRANDS,Brand-level alias added in v0.3; parent-level aliases removed.
A0051,Siggis,siggis,common_shorthand,manual_stewardship,B0325,Siggi's,P0020,Lactalis Group,reviewed,SRC_LACTALIS_AU_BRANDS,SRC_LACTALIS_AU_BRANDS,Brand-level alias added in v0.3; parent-level aliases removed.
A0052,Bega,bega,common_shorthand,manual_stewardship,B0330,Bega Cheese,P0022,Fonterra Co-operative Group Limited,reviewed,SRC_FONTERRA_AU_BRANDS,SRC_FONTERRA_AU_BRANDS,Brand-level alias added in v0.3; parent-level aliases removed.
A0053,Anchor,anchor,common_shorthand,manual_stewardship,B0332,Anchor Food Professionals,P0022,Fonterra Co-operative Group Limited,reviewed,SRC_FONTERRA_AU_BRANDS,SRC_FONTERRA_AU_BRANDS,Brand-level alias added in v0.3; parent-level aliases removed.
A0054,Inghams,inghams,common_shorthand,manual_stewardship,B0157,Ingham's,P0026,Inghams Group Limited,reviewed,SRC_INGHAMS_BRANDS,SRC_INGHAMS_BRANDS,Brand-level alias added in v0.3; parent-level aliases removed.
A0055,Andrews Meat,andrews meat,common_shorthand,manual_stewardship,B0354,Andrews Meat Industries,P0027,JBS S.A.,reviewed,SRC_JBS_FOODS_BRANDS,SRC_JBS_FOODS_BRANDS,Brand-level alias added in v0.3; parent-level aliases removed.
A0056,Sharwoods,sharwoods,common_shorthand,manual_stewardship,B0159,Sharwood's,P0031,Premier Foods plc,reviewed,SRC_PREMIER_FOODS_BRANDS,SRC_PREMIER_FOODS_BRANDS,Brand-level alias added in v0.3; parent-level aliases removed.
A0057,Campbells,campbells,common_shorthand,manual_stewardship,B0161,Campbell's,P0032,Campbell's Company,reviewed,SRC_CAMPBELLS_ANZ_PRODUCTS,SRC_CAMPBELLS_ANZ_PRODUCTS,Brand-level alias added in v0.3; parent-level aliases removed.
A0058,Hersheys,hersheys,common_shorthand,manual_stewardship,B0164,Hershey's,P0033,The Hershey Company,reviewed,SRC_HERSHEY_BRANDS,SRC_HERSHEY_BRANDS,Brand-level alias added in v0.3; parent-level aliases removed.
A0059,Reeses,reeses,common_shorthand,manual_stewardship,B0165,Reese's,P0033,The Hershey Company,reviewed,SRC_HERSHEY_BRANDS,SRC_HERSHEY_BRANDS,Brand-level alias added in v0.3; parent-level aliases removed.
A0060,Pirates Booty,pirates booty,common_shorthand,manual_stewardship,B0397,Pirate's Booty,P0033,The Hershey Company,reviewed,SRC_HERSHEY_BRANDS,SRC_HERSHEY_BRANDS,Brand-level alias added in v0.3; parent-level aliases removed.
A0061,Keens,keens,common_shorthand,manual_stewardship,B0169,Keen's,P0034,"McCormick & Company, Inc.",reviewed,SRC_MCCORMICK_CORP_BRANDS,SRC_MCCORMICK_CORP_BRANDS,Brand-level alias added in v0.3; parent-level aliases removed.
A0062,Franks RedHot,franks redhot,common_shorthand,manual_stewardship,B0400,Frank's RedHot,P0034,"McCormick & Company, Inc.",reviewed,SRC_MCCORMICK_CORP_BRANDS,SRC_MCCORMICK_CORP_BRANDS,Brand-level alias added in v0.3; parent-level aliases removed.
A0063,Frank's Red Hot,frank s red hot,common_shorthand,manual_stewardship,B0400,Frank's RedHot,P0034,"McCormick & Company, Inc.",reviewed,SRC_MCCORMICK_CORP_BRANDS,SRC_MCCORMICK_CORP_BRANDS,Brand-level alias added in v0.3; parent-level aliases removed.
A0064,7 Up,7 up,common_shorthand,manual_stewardship,B0416,7UP,P0036,Keurig Dr Pepper Inc.,reviewed,SRC_KDP_BRANDS,SRC_KDP_BRANDS,Brand-level alias added in v0.3; parent-level aliases removed.
A0065,Seven Up,seven up,common_shorthand,manual_stewardship,B0416,7UP,P0036,Keurig Dr Pepper Inc.,reviewed,SRC_KDP_BRANDS,SRC_KDP_BRANDS,Brand-level alias added in v0.3; parent-level aliases removed.
A0066,A and W,a and w,common_shorthand,manual_stewardship,B0418,A&W,P0036,Keurig Dr Pepper Inc.,reviewed,SRC_KDP_BRANDS,SRC_KDP_BRANDS,Brand-level alias added in v0.3; parent-level aliases removed.
A0067,BOSS Coffee,boss coffee,common_shorthand,manual_stewardship,B0425,Suntory BOSS Coffee,P0037,Suntory Holdings Limited,reviewed,SRC_SUNTORY_OCEANIA_BRANDS,SRC_SUNTORY_OCEANIA_BRANDS,Brand-level alias added in v0.3; parent-level aliases removed.
