parent_id,canonical_parent_name,display_parent_name,parent_type,parent_operating_role,parent_cohort_category,au_shelf_priority_y_n,nz_shelf_priority_y_n,bbfaw_seed_asset_member_y_n,ktc_seed_asset_member_y_n,core_uat_asset_member_y_n,review_state,primary_source_type,primary_source_id,primary_source_name,primary_source_url_or_reference,source_harvest_date,substantiation_note,notes_internal
P0001,Woolworths Group Limited,Woolworths Group Limited,public_company,retailer,supermarket_retailer_parent,Y,Y,Y,Y,N,reviewed,official_parent_brand_page,SRC_WOOLWORTHS_GROUP_BRANDS,Woolworths Group — Our Brands,https://www.woolworthsgroup.com.au/au/en/who-we-are/our-brands.html,2026-04-28,Official group page confirms Woolworths AU and Woolworths New Zealand as food retail businesses.,Retailer parent; own-label brands represented in canonical_brands. v0.9 reconciled source name 'Woolworths Limited'. v0.9 reconciled source name 'Woolworths Group Limited'.
P0002,Coles Group Limited,Coles Group Limited,public_company,retailer,supermarket_retailer_parent,Y,N,Y,Y,N,reviewed,retailer_own_brand_page,SRC_COLES_OWN_BRANDS,Coles — Our Brands,https://www.coles.com.au/about/who-we-are/our-brands,2026-04-28,Coles own brand source supports retailer own-label brand family rows.,Retailer parent. v0.9 reconciled source name 'Coles Group'.
P0003,Foodstuffs New Zealand,Foodstuffs New Zealand,cooperative,retailer,supermarket_retailer_parent,N,Y,N,N,N,reviewed,official_parent_brand_page,SRC_FOODSTUFFS_OUR_BRANDS,Foodstuffs — Our Brands,https://www.foodstuffs.co.nz/our-brands,2026-04-28,Foodstuffs page describes NZ store brands and own brands; bridging parent requires NZ partner review because of cooperative structure.,"Provisional umbrella parent pending NZ stewardship decision. v0.10 founder decision: approved as pragmatic umbrella parent for Wave 1, reflecting national brand ownership/coordination across Foodstuffs North Island and Foodstuffs South Island."
P0004,ALDI Süd / ALDI Einkauf SE & Co. oHG,ALDI Süd / ALDI Einkauf SE & Co. oHG,private_company,retailer,supermarket_retailer_parent,Y,N,Y,N,N,reviewed,retailer_product_page,SRC_ALDI_AU_BRANDS,ALDI Australia — Brands/Product Pages,https://www.aldi.com.au/brands/Choceur,2026-04-28,v0.3 parent/brand source harvested from ALDI Australia — Brands/Product Pages; current-chain mapping remains founder-reviewable.,Use simplified display name for AU supermarket context. v0.9 reconciled source name 'ALDI Süd/ALDI Einkauf SE & Co. oHG'. v0.10 founder decision: ALDI Süd accepted as AU chain treatment; ALDI Nord retained as benchmark seed parent only where relevant.
P0005,Metcash Limited,Metcash Limited,public_company,retailer,supermarket_retailer_parent,Y,N,N,N,N,reviewed,manual_stewardship,SRC_METCASH_IGA_BRANDS,Metcash/IGA own-label stewardship seed,https://www.iga.com.au/,2026-04-28,v0.3 parent/brand source harvested from Metcash/IGA own-label stewardship seed; current-chain mapping remains founder-reviewable.,Needs IGA/Black & Gold/Community Co source harvesting.
P0006,Costco Wholesale Corporation,Costco Wholesale Corporation,public_company,retailer,supermarket_retailer_parent,Y,N,Y,Y,N,reviewed,retailer_own_brand_page,SRC_COSTCO_KIRKLAND,Costco Australia — Kirkland Signature,https://www.costco.com.au/kirkland-signature,2026-04-28,v0.3 parent/brand source harvested from Costco Australia — Kirkland Signature; current-chain mapping remains founder-reviewable.,Review AU/NZ relevance depth. v0.9 reconciled source name 'Costco Wholesale Corporation'.
P0007,"Mars, Incorporated","Mars, Incorporated",private_company,brand_owner,global_food_beverage_parent,Y,Y,Y,N,N,reviewed,official_parent_brand_page,SRC_MARS_AU_BRANDS,Mars Australia — A-Z Brands,https://www.mars.com/en-au/our-brands/all-brands,2026-04-28,v0.3 parent/brand source harvested from Mars Australia — A-Z Brands; current-chain mapping remains founder-reviewable.,Founder approved Mars/Kellanova current ownership in v0.5; Kellanova/Kellogg's AU brand rows added provisionally. v0.9 reconciled source name 'Mars Inc'.
P0008,Nestlé S.A.,Nestlé S.A.,public_company,brand_owner,global_food_beverage_parent,Y,Y,Y,Y,N,reviewed,official_parent_brand_page,SRC_NESTLE_AU_BRANDS,Nestlé Australia — Brands,https://www.nestle.com.au/en/brands,2026-04-28,v0.3 parent/brand source harvested from Nestlé Australia — Brands; current-chain mapping remains founder-reviewable.,Official AU/NZ brand source harvesting pending. v0.9 reconciled source name 'Nestlé SA'. v0.9 reconciled source name 'Nestlé S.A.'.
P0009,"Mondelez International, Inc.","Mondelez International, Inc.",public_company,brand_owner,global_food_beverage_parent,Y,Y,Y,Y,N,reviewed,official_parent_brand_page,SRC_MONDELEZ_BRANDS,Mondelēz International — Our Brands,https://www.mondelezinternational.com/Our-Brands/,2026-04-28,v0.3 parent/brand source harvested from Mondelēz International — Our Brands; current-chain mapping remains founder-reviewable.,"Official AU/NZ brand source harvesting pending. v0.9 reconciled source name 'Mondelēz International'. v0.9 reconciled source name 'Mondelēz International, Inc.'. v0.10 founder decision: Captain's Table crackers approved as Mondelez-owned local/shelf brand via Gourmet Food Holdings acquisition/product evidence."
P0010,"PepsiCo, Inc.","PepsiCo, Inc.",public_company,brand_owner,global_food_beverage_parent,Y,Y,N,N,N,reviewed,official_parent_brand_page,SRC_PEPSICO_AU_BRANDS,PepsiCo Australia — Our Brands,https://pepsico.com.au/our-brands,2026-04-28,v0.3 parent/brand source harvested from PepsiCo Australia — Our Brands; current-chain mapping remains founder-reviewable.,Official AU/NZ brand source harvesting pending.
