control_row_id,parent_id,canonical_parent_name,parent_cohort_category,au_shelf_priority_y_n,nz_shelf_priority_y_n,bbfaw_seed_asset_member_y_n,ktc_seed_asset_member_y_n,core_uat_asset_member_y_n,official_parent_brand_source_harvested_y_n,source_status,brand_population_status,alias_population_status,gtin_link_status,review_state,gap_status,next_population_action,notes_internal
CTRL0001,P0001,Woolworths Group Limited,supermarket_retailer_parent,Y,Y,Y,Y,N,Y,source_fields_present,brand_rows_present,alias_rows_present,reserved_post_mvp_not_coverage_strategy,reviewed,none,founder signed-off in v0.10; no further expansion before scaffold validation unless fatal flaw,AU/NZ shelf priority columns are review/prioritisation metadata only; they do not drive app behaviour. v0.10 founder sign-off: seeded chaining accepted subject to explicit candidate/gap queues.
CTRL0002,P0002,Coles Group Limited,supermarket_retailer_parent,Y,N,Y,Y,N,Y,source_fields_present,brand_rows_present,alias_rows_present,reserved_post_mvp_not_coverage_strategy,reviewed,none,founder signed-off in v0.10; no further expansion before scaffold validation unless fatal flaw,AU/NZ shelf priority columns are review/prioritisation metadata only; they do not drive app behaviour. v0.10 founder sign-off: seeded chaining accepted subject to explicit candidate/gap queues.
CTRL0003,P0003,Foodstuffs New Zealand,supermarket_retailer_parent,N,Y,N,N,N,Y,source_fields_present,brand_rows_present,alias_rows_present,reserved_post_mvp_not_coverage_strategy,reviewed,none,founder signed-off in v0.10; no further expansion before scaffold validation unless fatal flaw,AU/NZ shelf priority columns are review/prioritisation metadata only; they do not drive app behaviour. v0.10 founder sign-off: seeded chaining accepted subject to explicit candidate/gap queues.
CTRL0004,P0004,ALDI Süd / ALDI Einkauf SE & Co. oHG,supermarket_retailer_parent,Y,N,Y,N,N,Y,source_fields_present,brand_rows_present,alias_rows_present,reserved_post_mvp_not_coverage_strategy,reviewed,none,founder signed-off in v0.10; no further expansion before scaffold validation unless fatal flaw,AU/NZ shelf priority columns are review/prioritisation metadata only; they do not drive app behaviour. v0.10 founder sign-off: seeded chaining accepted subject to explicit candidate/gap queues.
CTRL0005,P0005,Metcash Limited,supermarket_retailer_parent,Y,N,N,N,N,N,source_fields_present,brand_rows_present,alias_rows_present,reserved_post_mvp_not_coverage_strategy,reviewed,none,founder signed-off in v0.10; no further expansion before scaffold validation unless fatal flaw,AU/NZ shelf priority columns are review/prioritisation metadata only; they do not drive app behaviour. v0.10 founder sign-off: seeded chaining accepted subject to explicit candidate/gap queues.
CTRL0006,P0006,Costco Wholesale Corporation,supermarket_retailer_parent,Y,N,Y,Y,N,Y,source_fields_present,brand_rows_present,alias_rows_present,reserved_post_mvp_not_coverage_strategy,reviewed,none,founder signed-off in v0.10; no further expansion before scaffold validation unless fatal flaw,AU/NZ shelf priority columns are review/prioritisation metadata only; they do not drive app behaviour. v0.10 founder sign-off: seeded chaining accepted subject to explicit candidate/gap queues.
CTRL0007,P0007,"Mars, Incorporated",global_food_beverage_parent,Y,Y,Y,N,N,Y,source_fields_present,brand_rows_present,alias_rows_present,reserved_post_mvp_not_coverage_strategy,reviewed,none,founder signed-off in v0.10; no further expansion before scaffold validation unless fatal flaw,AU/NZ shelf priority columns are review/prioritisation metadata only; they do not drive app behaviour. v0.10 founder sign-off: seeded chaining accepted subject to explicit candidate/gap queues.
CTRL0008,P0008,Nestlé S.A.,global_food_beverage_parent,Y,Y,Y,Y,N,Y,source_fields_present,brand_rows_present,alias_rows_present,reserved_post_mvp_not_coverage_strategy,reviewed,none,founder signed-off in v0.10; no further expansion before scaffold validation unless fatal flaw,AU/NZ shelf priority columns are review/prioritisation metadata only; they do not drive app behaviour. v0.10 founder sign-off: seeded chaining accepted subject to explicit candidate/gap queues.
CTRL0009,P0009,"Mondelez International, Inc.",global_food_beverage_parent,Y,Y,Y,Y,N,Y,source_fields_present,brand_rows_present,alias_rows_present,reserved_post_mvp_not_coverage_strategy,reviewed,none,founder signed-off in v0.10; no further expansion before scaffold validation unless fatal flaw,AU/NZ shelf priority columns are review/prioritisation metadata only; they do not drive app behaviour. v0.10 founder sign-off: seeded chaining accepted subject to explicit candidate/gap queues.
CTRL0010,P0010,"PepsiCo, Inc.",global_food_beverage_parent,Y,Y,N,N,N,Y,source_fields_present,brand_rows_present,alias_rows_present,reserved_post_mvp_not_coverage_strategy,reviewed,none,founder signed-off in v0.10; no further expansion before scaffold validation unless fatal flaw,AU/NZ shelf priority columns are review/prioritisation metadata only; they do not drive app behaviour. v0.10 founder sign-off: seeded chaining accepted subject to explicit candidate/gap queues.
