instruction_action,target_identity,resulting_id,resulting_parent_edge_state,result
REPARENT,Anchor,B0139,P0020 Lactalis,PASS
REPARENT,Anlene,B0143,P0020 Lactalis,PASS
REPARENT,Anmum,B0144,P0020 Lactalis,PASS
REPARENT,Kapiti,B0331,P0020 Lactalis,PASS
REPARENT,Mainland,B0140,P0020 Lactalis,PASS
REPARENT,Perfect Italiano,B0141,P0020 Lactalis,PASS
REPARENT,Western Star,B0142,P0020 Lactalis,PASS
RETAIN,Anchor Food Professionals,B0332,P0022 Fonterra,PASS
RETAIN,NZMP,B0333,P0022 Fonterra,PASS
RETAIN,Bega,B0145,P0023 Bega,PASS
ADD,Fresh 'n Fruity,B0656,P0020 Lactalis,PASS
ADD,Primo dairy,B0657,P0020 Lactalis,PASS
RETAIN,Primo meat,B0351,P0027 JBS,PASS
CHILD_EDGE,Cadbury Dairy Milk → Cadbury,B0241,B0067,PASS
CHILD_EDGE,Caramilk → Cadbury,B0242,B0067,PASS
CHILD_EDGE,Boost → Cadbury,B0243,B0067,PASS
CHILD_EDGE,Crunchie → Cadbury,B0244,B0067,PASS
CHILD_EDGE,Flake → Cadbury,B0245,B0067,PASS
CHILD_EDGE,Freddo → Cadbury,B0246,B0067,PASS
ADD+CHILD_EDGE,Cadbury &MORE,B0658,P0009 / child B0067,PASS
ADD+CHILD_EDGE,Cherry Ripe,B0659,P0009 / child B0067,PASS
ADD+CHILD_EDGE,Cadbury Favourites,B0660,P0009 / child B0067,PASS
ADD+CHILD_EDGE,Old Gold,B0661,P0009 / child B0067,PASS
ADD+CHILD_EDGE,Picnic,B0662,P0009 / child B0067,PASS
ADD+CHILD_EDGE,Roses,B0663,P0009 / child B0067,PASS
ADD+CHILD_EDGE,Cadbury Slices,B0664,P0009 / child B0067,PASS
ADD+CHILD_EDGE,Twirl,B0665,P0009 / child B0067,PASS
ADD+CHILD_EDGE,Cadbury Velvet,B0666,P0009 / child B0067,PASS
ADD+CHILD_EDGE,Dream,B0667,P0009 / child B0067,PASS
ADD+CHILD_EDGE,Pinky,B0668,P0009 / child B0067,PASS
ADD+CHILD_EDGE,Perky Nana,B0669,P0009 / child B0067,PASS
ADD+CHILD_EDGE,Moro,B0670,P0009 / child B0067,PASS
ADD+CHILD_EDGE,Marvellous Creations,B0671,P0009 / child B0067,PASS
ADD+CHILD_EDGE,Caramello Koala,B0672,P0009 / child B0067,PASS
ADD,Fry's Turkish Delight,B0673,P0009 not Cadbury child,PASS
ADD,Olina's Bakehouse,B0674,P0009 not Cadbury child,PASS
CONSOLIDATE/SUPPRESS_CURRENT,Philadelphia Kraft Heinz,B0294,archived; retain B0070 Mondelez,PASS
ADD,Kellogg's umbrella,B0675,P0007 Mars,PASS
CHILD_EDGE,All-Bran → Kellogg's,B0540,B0675,PASS
CHILD_EDGE,Coco Pops → Kellogg's,B0541,B0675,PASS
CHILD_EDGE,Corn Flakes → Kellogg's,B0542,B0675,PASS
