brand_id,canonical_brand_name,parent_id,parent_display_name,review_state
B0656,Fresh 'n Fruity,P0020,Lactalis Group,reviewed
B0657,Primo (dairy),P0020,Lactalis Group,reviewed
B0658,Cadbury &MORE,P0009,"Mondelez International, Inc.",reviewed
B0659,Cherry Ripe,P0009,"Mondelez International, Inc.",reviewed
B0660,Cadbury Favourites,P0009,"Mondelez International, Inc.",reviewed
B0661,Old Gold,P0009,"Mondelez International, Inc.",reviewed
B0662,Picnic,P0009,"Mondelez International, Inc.",reviewed
B0663,Roses,P0009,"Mondelez International, Inc.",reviewed
B0664,Cadbury Slices,P0009,"Mondelez International, Inc.",reviewed
B0665,Twirl,P0009,"Mondelez International, Inc.",reviewed
B0666,Cadbury Velvet,P0009,"Mondelez International, Inc.",reviewed
B0667,Dream,P0009,"Mondelez International, Inc.",reviewed
B0668,Pinky,P0009,"Mondelez International, Inc.",reviewed
B0669,Perky Nana,P0009,"Mondelez International, Inc.",reviewed
B0670,Moro,P0009,"Mondelez International, Inc.",reviewed
B0671,Marvellous Creations,P0009,"Mondelez International, Inc.",reviewed
B0672,Caramello Koala,P0009,"Mondelez International, Inc.",reviewed
B0673,Fry's Turkish Delight,P0009,"Mondelez International, Inc.",reviewed
B0674,Olina's Bakehouse,P0009,"Mondelez International, Inc.",reviewed
B0675,Kellogg's,P0007,"Mars, Incorporated",reviewed
B0676,Plaistowe,P0008,Nestlé S.A.,reviewed
B0677,Bubly,P0010,"PepsiCo, Inc.",reviewed
B0678,Copper Kettle,P0010,"PepsiCo, Inc.",reviewed
B0679,Delisio,P0010,"PepsiCo, Inc.",reviewed
B0680,Obela,P0010,"PepsiCo, Inc.",reviewed
B0681,Rockstar,P0010,"PepsiCo, Inc.",reviewed
B0682,Tasty Toobs,P0010,"PepsiCo, Inc.",reviewed
B0683,Tostitos,P0010,"PepsiCo, Inc.",reviewed
B0684,The Juice Brothers,P0023,Bega Group Limited,reviewed
B0685,Simply Nuts,P0023,Bega Group Limited,reviewed
B0686,Farmers Union Iced Coffee,P0023,Bega Group Limited,reviewed
B0687,Complete Dairy,P0023,Bega Group Limited,reviewed
B0688,Betta Milk,P0023,Bega Group Limited,reviewed
B0689,Bega Peanut Butter,P0023,Bega Group Limited,reviewed
B0690,The Alternative Dairy Co,P0025,Sanitarium Health Food Company,reviewed
B0691,Vegie Delights,P0025,Sanitarium Health Food Company,reviewed
B0692,Ricies,P0025,Sanitarium Health Food Company,reviewed
B0693,Skippy Cornflakes,P0025,Sanitarium Health Food Company,reviewed
B0694,Greater Hummus,P0025,Sanitarium Health Food Company,reviewed
B0695,Bush Oven,P0040,Goodman Fielder Pty Limited,reviewed
