signal_target_id,signal_id,market_key,target_type,canonical_target_id,propagation_mode,coverage_state,confidence_state,review_state,resolution_status,lineage_reference,target_label,scope_review_summary,resolution_note
TGT-001,SIG-SR-AU-001,AU,product,,exact_only,exact_product,confirmed,seeded,needs_review,FSANZ-CHICKADEES-20260710,Chickadees Multipack 6x19g (114g),Only listed date markings.,UNRESOLVED: no Chickadees brand/product/GTIN in Workstream A wave1-v0.14; fail closed until founder supplies reviewed product_id/GTIN
TGT-002,SIG-SR-AU-001,AU,product,,exact_only,exact_product,confirmed,seeded,needs_review,FSANZ-CHICKADEES-20260710,Chickadees 190g,Only listed date marking.,UNRESOLVED: no Chickadees brand/product/GTIN in Workstream A wave1-v0.14
TGT-003,SIG-SR-AU-001,AU,product,,exact_only,exact_product,confirmed,seeded,needs_review,FSANZ-CHICKADEES-20260710,Chickadees 90g,Only listed date marking.,UNRESOLVED: no Chickadees brand/product/GTIN in Workstream A wave1-v0.14
TGT-004,SIG-SR-AU-001,AU,product,,exact_only,exact_product,confirmed,seeded,needs_review,FSANZ-CHICKADEES-20260710,Chickadees 45g,Only listed date marking.,UNRESOLVED: no Chickadees brand/product/GTIN in Workstream A wave1-v0.14
TGT-005,SIG-SR-AU-002,AU,product,,exact_only,exact_product,confirmed,seeded,needs_review,FSANZ-ALLENS-INSIDEOUTS-20260602,Allen's iNSiDE OUTS 130g,Only listed batch numbers and date marking.,UNRESOLVED: brand B0059 exists but no reviewed exact product_id/GTIN for 130g pack
TGT-007,SIG-SR-NZ-002,NZ,product,,exact_only,exact_product,confirmed,seeded,needs_review,MPI-PAMS-LASAGNE-20260227,Pams Beef Lasagne 1.3kg,Only product labelled USE BY 01MAY26; correct date was 01MAR26.,UNRESOLVED: brand B0024 exists but no reviewed exact product_id/GTIN
TGT-008,SIG-SR-AU-003,AU,entity,P0002,entity_descendants,entity_context,confirmed,seeded,resolved_with_warning,ACCC-39-26,Coles Supermarkets Australia,All current Coles-owned/private-label product descendants in AU; exclude third-party brands merely stocked by Coles.,Resolved to reviewed parent P0002 Coles Group Limited; propagation is entity_descendants (own-label chain only — not retailer stocking)
TGT-009,SIG-IN-AU-001,AU,product_family,PF_LEGGOS_TOMATO_PASTE_AU,family_members,product_family,strong,seeded,resolved_with_warning,ABC-106940742-LEGGOS,Leggo's Tomato Paste — AU,"All reviewed pack sizes/forms of the same tomato-paste line; exclude sauces, passata, diced tomatoes, purée and unrelated Leggo's products.",Family ID created in chaining-extensions/v0.1; membership empty until reviewed GTINs supplied (brand anchor B0179)
TGT-010,SIG-IN-AU-002,AU,product_family,PF_REMANO_TOMATO_PASTE_AU,family_members,product_family,strong,seeded,resolved_with_warning,ABC-106940742-REMANO,Remano Tomato Paste — AU,All reviewed pack sizes/forms of the same tomato-paste line; exclude other Remano and Aldi products.,Family ID created; membership empty until reviewed GTINs (brand anchor B0032)
TGT-011,SIG-IN-AU-003,AU,product_family,PF_COLES_ITALIAN_TOMATO_PASTE_AU,family_members,product_family,strong,seeded,resolved_with_warning,ABC-106940742-COLES-TOMATO,Coles Italian Tomato Paste — AU,All reviewed pack sizes/forms of the same named product line; exclude other Coles tomato products and unrelated own-label products.,Family ID created; membership empty until reviewed GTINs (brand anchor B0013)
TGT-012,SIG-IN-AU-004,AU,product_family,,family_members,product_family,strong,seeded,needs_review,ABC-106960116-HOYTS,Hoyt's Turmeric — AU,All reviewed pack sizes/forms of the same turmeric product line supported by the testing; exclude other Hoyt's spices.,UNRESOLVED: Hoyt's brand absent from Workstream A wave1-v0.14; cannot mint family without reviewed brand/parent
TGT-013,SIG-IN-AU-005,AU,product_family,PF_WOOLWORTHS_CAGEFREE_EGGS_SA,family_members,product_family,strong,seeded,resolved_with_warning,ABC-106960116-WOOLWORTHS-EGGS,Woolworths Cage-Free Eggs — tested South Australian range,Only exact tested carton/GTIN range sold in South Australia; no national propagation without matching identity evidence.,Family ID created; membership empty until reviewed SA GTINs (brand anchor B0001)
TGT-014,SIG-IN-GL-001,AU,brand,B0067,brand_descendants,brand_context,strong,seeded,resolved,ABC-106970782-COCOALIFE,Cadbury chocolate — AU,"Cadbury/Mondelēz chocolate context only; exclude Ritz, Philadelphia and other non-chocolate Mondelēz brands.",Resolved to reviewed Cadbury brand B0067 / parent P0009
TGT-015,SIG-IN-GL-001,NZ,brand,B0067,brand_descendants,brand_context,strong,seeded,resolved,ABC-106970782-COCOALIFE,Cadbury chocolate — NZ,Cadbury/Mondelēz chocolate context only; exclude non-chocolate Mondelēz brands.,Resolved to reviewed Cadbury brand B0067 / parent P0009
TGT-017,SIG-IN-NZ-001,NZ,product_family,PF_KERI_FRUIT_JUICE_NZ,family_members,product_family,strong,seeded,resolved_with_warning,CONSUMERNZ-KERI-20260211,Keri Fruit Juice — documented 3L to 2.4L transition,Only reviewed flavours/GTINs affected by the documented pack transition.,Family ID created; membership empty until reviewed GTINs (brand anchor B0268)
TGT-018,SIG-IN-NZ-002,NZ,product,,exact_only,exact_product,strong,seeded,needs_review,CONSUMERNZ-ANCHOR-BLUE-20260211,Anchor Blue Milk Powder 400g,Only packaging versions carrying the documented changed preparation directions.,UNRESOLVED: brand B0139 exists; no reviewed exact product_id/GTIN for 400g pack version
TGT-019,SIG-IN-NZ-003,NZ,product,,exact_only,exact_product,strong,seeded,needs_review,RNZ-590339,Pams sparkling water with outdated two-star HSR,Only exact product/variant and label version; suppress when corrected packaging is confirmed.,UNRESOLVED: brand B0024 exists; no reviewed exact product_id/GTIN
TGT-020,SIG-IN-GL-002,AU,brand,B0241,brand_descendants,brand_context,strong,seeded,resolved,GW-LIBERIA-COCOA-20251125,Cadbury Dairy Milk — AU,Chocolate-brand risk context only; no individual packet traceability.,Resolved to reviewed Cadbury Dairy Milk brand B0241 / P0009
TGT-021,SIG-IN-GL-002,NZ,brand,B0241,brand_descendants,brand_context,strong,seeded,resolved,GW-LIBERIA-COCOA-20251125,Cadbury Dairy Milk — NZ,Chocolate-brand risk context only; no individual packet traceability.,Resolved to reviewed Cadbury Dairy Milk brand B0241 / P0009
TGT-022,SIG-IN-GL-002,AU+NZ,brand,B0060,brand_descendants,brand_context,strong,seeded,resolved,GW-LIBERIA-COCOA-20251125,KitKat,Chocolate-brand risk context only; no individual packet traceability.,Resolved to reviewed KitKat brand B0060 / P0008
TGT-023,SIG-IN-GL-002,AU+NZ,brand,B0050,brand_descendants,brand_context,strong,seeded,resolved,GW-LIBERIA-COCOA-20251125,Mars chocolate,Chocolate-brand risk context only; no individual packet traceability.,Resolved to reviewed Mars brand B0050 / P0007
