signal_id,dedupe_key,signal_class,market_key,source_channel_id,source_record_id,source_published_at,source_url,source_title,reveal_domain,signal_headline,signal_summary,scope_qualification,subject_response,subject_response_status,subject_response_source_url,confidence_state,review_state,signal_publication_state,editorial_review_required,editorial_review_state,detected_at,reviewed_at,last_material_update_at,publishable_from,expires_at,supersedes_signal_id,lineage_reference,rationale_summary,evidence_policy_version
SIG-SR-AU-001,AU-FSANZ-CHICKADEES-RUBBER-20260710,safety_regulatory,AU,SRC-FSANZ-RECALL,FSANZ-CHICKADEES-20260710,2026-07-10,https://www.foodstandards.gov.au/food-recalls/recall-alert/snackbrands-australia-chickadees-various-sizes,Snackbrands Australia - Chickadees Various Sizes,unsafe_products,Recall: selected Chickadees packs,FSANZ recalled selected Chickadees packs because they may contain rubber.,Only the listed pack sizes and date markings are affected.,,not_applicable,,confirmed,seeded,candidate,FALSE,not_required,2026-08-06,,,,,,WEB:FSANZ-CHICKADEES-20260710,"Current official national recall with explicit product, pack and consumer-action details.",RVEEL-SIGNALS-MVP-2026-08-v0.2
SIG-SR-AU-002,AU-FSANZ-ALLENS-INSIDEOUTS-PLASTIC-20260602,safety_regulatory,AU,SRC-FSANZ-RECALL,FSANZ-ALLENS-INSIDEOUTS-20260602,2026-06-02,https://www.foodstandards.gov.au/food-recalls/recall-alert/nestle-australia-ltd-allens-inside-outs-130g,Nestle Australia Ltd. - Allen's iNSiDE OUTS - 130g,unsafe_products,Recall: Allen's iNSiDE OUTS 130g,FSANZ recalled the named product because it may contain plastic.,Only the 130g product with the listed date marking and batch numbers is affected.,,not_applicable,,confirmed,seeded,candidate,FALSE,not_required,2026-08-06,,,,,,WEB:FSANZ-ALLENS-INSIDEOUTS-20260602,"Current official national recall with exact product, batch and consumer-action details.",RVEEL-SIGNALS-MVP-2026-08-v0.2
SIG-SR-NZ-002,NZ-MPI-PAMS-BEEF-LASAGNE-DATE-20260227,safety_regulatory,NZ,SRC-MPI-RECALL,MPI-PAMS-BEEF-LASAGNE-20260227,2026-02-27,https://www.mpi.govt.nz/food-safety-home/food-recalls-and-complaints/recalled-food-products/pams-brand-beef-lasagne-is-being-recalled-due-to-the-product-being-labelled-with-an-incorrect-use-by-date,Pams brand Beef Lasagne recalled due to incorrect use-by date,unsafe_products,Recall: incorrect use-by date,New Zealand Food Safety recalled Pams Beef Lasagne because the product carried an incorrect use-by date.,Only the 1.3kg product with the affected printed date is in scope.,,not_applicable,,confirmed,seeded,candidate,FALSE,not_required,2026-08-06,,,,,,WEB:MPI-PAMS-LASAGNE-20260227,Official recall with a clear exact-product and date-marking scope.,RVEEL-SIGNALS-MVP-2026-08-v0.2
SIG-SR-AU-003,AU-ACCC-COLES-DOWNDOWN-LIABILITY-20260514,safety_regulatory,AU,SRC-ACCC,ACCC-39-26,2026-05-14,https://www.accc.gov.au/media-release/court-finds-that-coles-misled-customers-over-down-down-claims,Court finds that Coles misled customers over 'Down Down' claims,unfair_trading,Court finding on Coles 'Down Down' promotions,The Federal Court found Coles made misleading representations in 13 of the 14 sample 'Down Down' tickets considered at the liability hearing.,Company-level Coles supermarket conduct. Do not imply misconduct by third-party brands merely sold through Coles.,,not_applicable,,confirmed,seeded,candidate,FALSE,not_required,2026-08-06,,,,,,WEB:ACCC-39-26,Formal court finding directly relevant to supermarket price transparency and consumer choice.,RVEEL-SIGNALS-MVP-2026-08-v0.2
SIG-IN-AU-001,AU-ABC-LEGGOS-TOMATO-ORIGIN-20260727,in_the_news,AU,SRC-ABC-INVESTIGATIONS,ABC-106940742-LEGGOS,2026-07-27,https://www.abc.net.au/news/2026-07-27/australian-tomatoes-leggos-coles-aldi-chinese-tests-show/106940742,"Leggo's, Coles and Aldi selling Chinese tomatoes as 'Australian' and 'Italian' in products, forensic testing finds",false_origin_claims,Forensic testing challenges Leggo's origin claims,Four Corners reported that 27 of 33 tested Leggo's tomato paste products did not match their Australian-grown origin claims.,"Apply to the reviewed Leggo's Tomato Paste product family in Australia, not to Leggo's sauces, passata, diced tomatoes or unrelated products.",Simplot rejected the findings and cited supplier documentation tracing the products to Australian farms.,captured_from_source,https://www.abc.net.au/news/2026-07-27/australian-tomatoes-leggos-coles-aldi-chinese-tests-show/106940742,strong,seeded,candidate,TRUE,pending,2026-08-06,,,,,,WEB:ABC-106940742-LEGGOS,"Original forensic testing named a major AU product family and produced a clear, chainable origin-claim issue.",RVEEL-SIGNALS-MVP-2026-08-v0.2
SIG-IN-AU-002,AU-ABC-REMANO-TOMATO-ORIGIN-20260727,in_the_news,AU,SRC-ABC-INVESTIGATIONS,ABC-106940742-REMANO,2026-07-27,https://www.abc.net.au/news/2026-07-27/australian-tomatoes-leggos-coles-aldi-chinese-tests-show/106940742,"Leggo's, Coles and Aldi selling Chinese tomatoes as 'Australian' and 'Italian' in products, forensic testing finds",false_origin_claims,Forensic testing challenges Remano tomato-paste origin,Four Corners reported that tested Aldi Remano tomato paste did not match the Italian or Australian origin stated on its label.,"Apply to the reviewed Remano Tomato Paste product family in Australia, not to other Remano or Aldi products.",Aldi rejected the findings and said suppliers had assured it of the stated origin.,captured_from_source,https://www.abc.net.au/news/2026-07-27/australian-tomatoes-leggos-coles-aldi-chinese-tests-show/106940742,strong,seeded,candidate,TRUE,pending,2026-08-06,,,,,,WEB:ABC-106940742-REMANO,Original forensic testing identified a named AU own-label product family with a direct origin-claim issue.,RVEEL-SIGNALS-MVP-2026-08-v0.2
SIG-IN-AU-003,AU-ABC-COLES-TOMATO-ORIGIN-20260727,in_the_news,AU,SRC-ABC-INVESTIGATIONS,ABC-106940742-COLES-TOMATO,2026-07-27,https://www.abc.net.au/news/2026-07-27/australian-tomatoes-leggos-coles-aldi-chinese-tests-show/106940742,"Leggo's, Coles and Aldi selling Chinese tomatoes as 'Australian' and 'Italian' in products, forensic testing finds",false_origin_claims,Forensic testing challenges Coles Italian tomato-paste origin,Four Corners reported that tested Coles Italian Tomato Paste did not match the origin stated on its label.,"Apply to the reviewed Coles Italian Tomato Paste product family, not to other Coles tomato products or the entire Coles entity.",Coles rejected the findings and said there was no evidence the product came from China.,captured_from_source,https://www.abc.net.au/news/2026-07-27/australian-tomatoes-leggos-coles-aldi-chinese-tests-show/106940742,strong,seeded,candidate,TRUE,pending,2026-08-06,,,,,,WEB:ABC-106940742-COLES-TOMATO,Original forensic testing identified a named AU own-label product family with a direct origin-claim issue.,RVEEL-SIGNALS-MVP-2026-08-v0.2
SIG-IN-AU-004,AU-ABC-HOYTS-TURMERIC-ADULTERATION-20260727,in_the_news,AU,SRC-ABC-INVESTIGATIONS,ABC-106960116-HOYTS,2026-07-27,https://www.abc.net.au/news/2026-07-27/food-fraud-investigation-reveals-truth-behind-labels/106960116,"From eggs to seafood, spices and spirits, testing reveals what's really in your food",food_fraud,Testing raises adulteration concerns for Hoyt's turmeric,Four Corners reported adulteration indicators in three of four tested Hoyt's turmeric packets.,Apply only to the reviewed Hoyt's Turmeric product family and tested market period. Do not state a regulator finding or broader health conclusion.,Hoyt's said it was investigating the findings.,captured_from_source,https://www.abc.net.au/news/2026-07-27/food-fraud-investigation-reveals-truth-behind-labels/106960116,strong,seeded,candidate,TRUE,pending,2026-08-06,,,,,,WEB:ABC-106960116-HOYTS,Original multi-sample testing named a current AU product family and identified a material composition concern.,RVEEL-SIGNALS-MVP-2026-08-v0.2
SIG-IN-AU-005,AU-ABC-WOOLWORTHS-CAGEFREE-EGGS-SA-20260727,in_the_news,AU,SRC-ABC-INVESTIGATIONS,ABC-106960116-WOOLWORTHS-EGGS,2026-07-27,https://www.abc.net.au/news/2026-07-27/food-fraud-investigation-reveals-truth-behind-labels/106960116,"From eggs to seafood, spices and spirits, testing reveals what's really in your food",animal_welfare,Testing challenges cage-free claims on Woolworths eggs,Four Corners reported repeated testing indicating that Woolworths cage-free eggs bought in South Australia came from caged hens.,Only the exact tested South Australian carton range may be linked. Do not propagate nationally without matching identity evidence.,Woolworths rejected the findings and said it was investigating with the supplier.,captured_from_source,https://www.abc.net.au/news/2026-07-27/food-fraud-investigation-reveals-truth-behind-labels/106960116,strong,seeded,candidate,TRUE,pending,2026-08-06,,,,,,WEB:ABC-106960116-WOOLWORTHS-EGGS,Original repeated testing named a current own-label egg range and directly challenged a welfare claim.,RVEEL-SIGNALS-MVP-2026-08-v0.2
SIG-IN-GL-001,GL-ABC-MONDELEZ-COCOALIFE-CHILD-LABOUR-20260803,in_the_news,AU+NZ,SRC-ABC-INVESTIGATIONS,ABC-106970782-COCOALIFE,2026-08-03,https://www.abc.net.au/news/2026-08-03/chocolate-industry-child-labour-in-ghana-despite-promises/106970782,Child labour remains chocolate industry's 'dirty secret' despite decades of promises,labour_rights,Child labour found in a Cocoa Life community,Four Corners documented hazardous child work in a community identified as participating in Mondel?z's Cocoa Life program.,Cadbury/Mondel?z chocolate context only. Four Corners did not establish that the filmed farm supplied Mondel?z or any scanned product.,"Mondel?z said it was deeply concerned, prohibits child labour in its supply chain and continues to invest in Cocoa Life.",captured_from_source,https://www.abc.net.au/news/2026-08-03/chocolate-industry-child-labour-in-ghana-despite-promises/106970782,strong,seeded,candidate,TRUE,pending,2026-08-06,,,,,,WEB:ABC-106970782-COCOALIFE,Original field reporting named a current company program and a material labour-rights issue relevant to familiar AU/NZ chocolate brands.,RVEEL-SIGNALS-MVP-2026-08-v0.2
