recall_notice_id,signal_id,official_source_url,hazard,consumer_action,bb_month,bb_year,recall_product_family_id,notes
RN-FSANZ-CHICKADEES-20260710,SIG-SR-AU-001-20260918,https://www.foodstandards.gov.au/food-recalls/recall-alert/snackbrands-australia-chickadees-various-sizes,May contain rubber,Do not consume. Return to place of purchase for a refund.,,,,Exact pack sizes/date markings per FSANZ; GTINs not on notice
RN-FSANZ-ALLENS-INSIDEOUTS-20260602,SIG-SR-AU-002-20260918,https://www.foodstandards.gov.au/food-recalls/recall-alert/nestle-australia-ltd-allens-inside-outs-130g,May contain plastic,Do not consume. Return to place of purchase for a refund.,,,,Exact GTIN not governed
RN-MPI-PAMS-LASAGNE-20260227,SIG-SR-NZ-002-20260918,https://www.mpi.govt.nz/food-safety-home/food-recalls-and-complaints/recalled-food-products/pams-brand-beef-lasagne-is-being-recalled-due-to-the-product-being-labelled-with-an-incorrect-use-by-date,Incorrect use-by date on pack,Do not consume. Return to place of purchase for a refund.,5,2026,,Printed USE BY 01MAY26 incorrect (correct 01MAR26); GTIN not governed
RN-MPI-VOGELS-20260811,SIG-SR-NZ-003-20260918,https://www.mpi.govt.nz/food-safety-home/food-recalls-and-complaints/recalled-food-products/vogels-brand-various-breads-recalled-as-the-products-may-contain-foreign-matter-small-metal-pieces,May contain small metal pieces,Do not consume. Return to place of purchase for a refund.,,,,Family identity bound; membership/GTINs still required for matcher live fire Former recall_product_family_id=PF_VOGELS_MPI_METAL_20260811 retired from SI; product scope via signal_target_product_criteria.
RN-FSANZ-MRCHENS-20260818,SIG-SR-AU-004-20260918,https://www.foodstandards.gov.au/food-recalls/recall-alert/chen-foods-mr-chens-szechuan-chilli-oil-250g,Peanut not declared in Contains statement,Do not consume. Return to place of purchase for a refund.,,,,Brand B0796/P0175 exist; exact 250g GTIN not governed
RN-FSANZ-REDHAT-20260911,SIG-SR-AU-005,https://www.foodstandards.gov.au/food-recalls/recall-alert/alog-australian-wholesalers-pty-ltd-red-hat-cookia-matcha-chocolate,"Undeclared egg, milk and soy",Do not consume. Return to place of purchase for a refund.,2,2027,,Candidate GTIN 4975186250043 unverified — not promoted
RN-FSANZ-JCSEAFOOD-20260910,SIG-SR-AU-006,https://www.foodstandards.gov.au/food-recalls/recall-alert/jc-seafood-sweet-chilli-lime-salmon-portions-275g,Undeclared soy,Do not consume. Return to place of purchase for a refund.,9,2026,,Woolworths WA; BB 18 September 2026; GTIN not governed
RN-FSANZ-AUSTRALHERBS-20260909,SIG-SR-AU-007,https://www.foodstandards.gov.au/food-recalls/recall-alert/greenstorm-foods-ta-austral-herbs-certified-organic-premium-peppermint,May contain metal,Do not consume. Return to place of purchase for a refund.,4,2029,,250g/1kg/5kg/10kg; BB 2 April 2029; GTINs not governed Former recall_product_family_id=PF_AUSTRALHERBS_PEPPERMINT_20260909 retired from SI; product scope via signal_target_product_criteria.
RN-FSANZ-MONSIRE-AU-20260904,SIG-SR-AU-008,https://www.foodstandards.gov.au/food-recalls/recall-alert/bottega-1995-brie-mon-sire-1kg,Possible Listeria monocytogenes,Do not consume. Return to place of purchase for a refund.,10,2026,,AU 1kg Foodland Brighton SA only; must not bind NZ variants
RN-MPI-DONGWON-20260911,SIG-SR-NZ-004,https://www.mpi.govt.nz/food-safety-home/food-recalls-and-complaints/recalled-food-products/dongwon-brand-fried-bean-curd-recalled-due-to-the-presence-of-undeclared-allergens-egg-milk-sesame,"Undeclared egg, milk and sesame",Do not consume. Return to place of purchase for a refund.,,,,All batches 340g; candidate GTIN 8801047559610 unverified
RN-MPI-WOOLWORTHS-MULTIGRAIN-20260908,SIG-SR-NZ-005,https://www.mpi.govt.nz/food-safety-home/food-recalls-and-complaints/recalled-food-products/woolworths-brand-multi-grain-cereal-recalled-as-the-product-may-contain-foreign-matter-blue-plastic,May contain blue plastic,Do not consume. Return to place of purchase for a refund.,4,2027,,500g exact-product only; no entity-wide Woolworths propagation
RN-MPI-MONSIRE-NZ-20260904,SIG-SR-NZ-006,https://www.mpi.govt.nz/food-safety-home/food-recalls-and-complaints/recalled-food-products/mon-sire-brand-brie-recalled-due-to-possible-presence-of-listeria,Possible Listeria monocytogenes,Do not consume. Return to place of purchase for a refund.,9,2026,,NZ Sabato listed packs BB 26 September 2026; not AU 1kg Former recall_product_family_id=PF_MONSIRE_BRIE_NZ_20260904 retired from SI; product scope via signal_target_product_criteria.
