criterion_id,signal_target_id,market_key,required_brand_id,required_parent_id,match_field,match_mode,match_value,match_value_normalized,review_state,confidence_state,lineage_reference,notes
SPC-0001,TGT-100,AU,B0654,P0156,product_name,phrase_contains,chickadees,chickadees,reviewed,confirmed,FSANZ-CHICKADEES-20260710,Derived mechanically from workbook product_match_terms
SPC-0002,TGT-100,AU,B0654,P0156,gtin,exact,9310988019279,9310988019279,reviewed,confirmed,FSANZ-CHICKADEES-20260710,Derived mechanically from workbook verified_gtins
SPC-0003,TGT-100,AU,B0654,P0156,gtin,exact,9310988019309,9310988019309,reviewed,confirmed,FSANZ-CHICKADEES-20260710,Derived mechanically from workbook verified_gtins
SPC-0004,TGT-100,AU,B0654,P0156,gtin,exact,9310988016353,9310988016353,reviewed,confirmed,FSANZ-CHICKADEES-20260710,Derived mechanically from workbook verified_gtins
SPC-0005,TGT-104,AU,B0059,P0008,product_name,phrase_contains,inside outs,inside outs,reviewed,confirmed,FSANZ-ALLENS-INSIDEOUTS-20260602,Derived mechanically from workbook product_match_terms
SPC-0006,TGT-104,AU,B0059,P0008,product_name,phrase_contains,insideouts,insideouts,reviewed,confirmed,FSANZ-ALLENS-INSIDEOUTS-20260602,Derived mechanically from workbook product_match_terms
SPC-0007,TGT-104,AU,B0059,P0008,gtin,exact,9300605162921,9300605162921,reviewed,confirmed,FSANZ-ALLENS-INSIDEOUTS-20260602,Derived mechanically from workbook verified_gtins
SPC-0008,TGT-105,NZ,B0024,P0003,product_name,phrase_contains,beef lasagne,beef lasagne,reviewed,confirmed,MPI-PAMS-LASAGNE-20260227,Derived mechanically from workbook product_match_terms
SPC-0009,TGT-105,NZ,B0024,P0003,gtin,exact,9415077182329,9415077182329,reviewed,confirmed,MPI-PAMS-LASAGNE-20260227,Derived mechanically from workbook verified_gtins
SPC-0010,TGT-105,NZ,B0024,P0003,gtin,exact,9415077370979,9415077370979,reviewed,confirmed,MPI-PAMS-LASAGNE-20260227,Derived mechanically from workbook verified_gtins
SPC-0011,TGT-125,NZ,B0175,P0040,product_name,phrase_contains,original mixed grain very thin,original mixed grain very thin,reviewed,confirmed,MPI-VOGELS-METAL-20260811,Derived mechanically from workbook product_match_terms
SPC-0012,TGT-125,NZ,B0175,P0040,product_name,phrase_contains,original mixed grain sandwich,original mixed grain sandwich,reviewed,confirmed,MPI-VOGELS-METAL-20260811,Derived mechanically from workbook product_match_terms
SPC-0013,TGT-125,NZ,B0175,P0040,product_name,phrase_contains,original mixed grain toast,original mixed grain toast,reviewed,confirmed,MPI-VOGELS-METAL-20260811,Derived mechanically from workbook product_match_terms
SPC-0014,TGT-125,NZ,B0175,P0040,product_name,phrase_contains,dark rye toast,dark rye toast,reviewed,confirmed,MPI-VOGELS-METAL-20260811,Derived mechanically from workbook product_match_terms
SPC-0015,TGT-125,NZ,B0175,P0040,product_name,phrase_contains,sprouted whole grain toast,sprouted whole grain toast,reviewed,confirmed,MPI-VOGELS-METAL-20260811,Derived mechanically from workbook product_match_terms
