source_channel_id,publisher_name,channel_name,publisher_type,editorial_function,geographic_reach,eligible_signal_class,approved_domain,status,effective_from,effective_to
SRC-FSANZ-RECALL,Food Standards Australia New Zealand,Australian Food Recall Alerts,Official Authority,Food Recall Registry,AU,safety_regulatory,foodstandards.gov.au,active,2026-08-06,
SRC-MPI-RECALL,New Zealand Food Safety / Ministry for Primary Industries,Recalled Food Products,Official Authority,Food Recall Registry,NZ,safety_regulatory,mpi.govt.nz,active,2026-08-06,
SRC-ACCC,Australian Competition and Consumer Commission,"Food, Grocery and Consumer Enforcement",Official Authority,Regulatory & Enforcement Reporting,AU,safety_regulatory,accc.gov.au,active,2026-08-06,
SRC-NZ-COMCOM,New Zealand Commerce Commission,"Food, Grocery and Consumer Enforcement",Official Authority,Regulatory & Enforcement Reporting,NZ,safety_regulatory,comcom.govt.nz,active,2026-08-06,
SRC-ABC-NEWS,Australian Broadcasting Corporation,ABC News,Public Broadcaster,National Mainstream Reporting,AU,in_the_news,abc.net.au,active,2026-08-06,
SRC-ABC-INVESTIGATIONS,Australian Broadcasting Corporation,Four Corners / ABC Investigations,Public Broadcaster,Dedicated Investigative & Verification Journalism,AU,in_the_news,abc.net.au,active,2026-08-06,
SRC-RNZ-NEWS,Radio New Zealand,RNZ News,Public Broadcaster,National Mainstream Reporting,NZ,in_the_news,rnz.co.nz,active,2026-08-06,
SRC-NZ-HERALD,NZME,NZ Herald,Commercial News Publisher,National Mainstream Reporting,NZ,in_the_news,nzherald.co.nz,active,2026-08-06,
SRC-CHOICE,Australian Consumers' Association,CHOICE,Consumer Organisation,Consumer Testing & Advocacy,AU,in_the_news,choice.com.au,active,2026-08-06,
SRC-CONSUMER-NZ,Consumer New Zealand,Consumer NZ,Consumer Organisation,Consumer Testing & Advocacy,NZ,in_the_news,consumer.org.nz,active,2026-08-06,
SRC-BBC-VERIFY,British Broadcasting Corporation,BBC Verify,Public Broadcaster,Dedicated Investigative & Verification Journalism,Global,in_the_news,bbc.com,active,2026-08-06,
SRC-BBC-INVESTIGATIONS,British Broadcasting Corporation,BBC Investigations / Panorama,Public Broadcaster,Dedicated Investigative & Verification Journalism,Global,in_the_news,bbc.com,active,2026-08-06,
SRC-GLOBAL-WITNESS,Global Witness,Global Witness Investigations,Specialist Evidence Organisation,Specialist Evidence & Watchdog Investigation,Global,in_the_news,globalwitness.org,active,2026-08-06,
